,cur_date,stock_code,stock_name,cost_avg,close_price,distribution_desc,max_price,min_price,profit_rate,ylw,zcw,cost70_jgqj_down,cost70_jgqj_up,cost70_jzd,cost90_jgqj_down,cost90_jgqj_up,cost90_jzd,popularity,total_stock,popularity_desc,new_rate,old_rate,old_avg_rate
0,05-17,000957,中通客车,8.76,8.54,该股近120天的平均成本8.76元，盈利比例39.82%，筹码状态相对发散。,11.4,7.2,39.82%,9.12,7.54,7.95,10.20,12.40%,7.59,10.71,17.05%,178,3630,个股近期人气趋势图，目前市场人气排名为178/3630，用户高度关注。,44,56,44
1,05-20,000957,中通客车,8.73,8.44,该股近120天的平均成本8.73元，盈利比例38.82%，筹码状态相对发散。,11.43,7.17,38.82%,9.12,7.54,7.98,10.17,12.07%,7.59,10.68,16.91%,212,3632,个股近期人气趋势图，目前市场人气排名为212/3632，用户高度关注。,44,56,44
3,05-20,000957,中通客车,8.7,8.77,该股近120天的平均成本8.7元，盈利比例53.93%，筹码状态相对发散。,11.4,7.2,53.93%,9.12,7.99,8.01,10.14,11.74%,7.62,10.65,16.58%,212,3632,个股近期人气趋势图，目前市场人气排名为212/3632，用户高度关注。,44,56,44
4,05-21,000957,中通客车,8.7,8.77,该股近120天的平均成本8.7元，盈利比例53.93%，筹码状态相对发散。,11.4,7.2,53.93%,9.12,7.99,8.01,10.14,11.74%,7.62,10.65,16.58%,203,3631,个股近期人气趋势图，目前市场人气排名为203/3631，用户高度关注。,44,56,44
5,05-22,000957,中通客车,8.73,8.57,该股近120天的平均成本8.73元，盈利比例39.86%，筹码状态相对发散。,11.43,7.17,39.86%,9.12,7.99,8.04,10.08,11.26%,7.62,10.65,16.58%,213,3631,个股近期人气趋势图，目前市场人气排名为213/3631，用户高度关注。,44,56,44
7,05-23,000957,中通客车,8.7,8.22,该股近120天的平均成本8.7元，盈利比例26.17%，筹码状态相对发散。,11.4,7.2,26.17%,9.12,7.54,8.07,10.05,10.93%,7.62,10.62,16.45%,317,3630,个股近期人气趋势图，目前市场人气排名为317/3630，用户高度关注。,46,54,46
9,05-24,000957,中通客车,8.67,8.58,该股近120天的平均成本8.67元，盈利比例46.15%，筹码状态相对发散。,11.43,7.17,46.15%,9.12,8.06,8.10,10.02,10.60%,7.65,10.59,16.12%,303,3632,个股近期人气趋势图，目前市场人气排名为303/3632，用户高度关注。,45,55,45
11,05-27,000957,中通客车,8.61,8.65,该股近120天的平均成本8.61元，盈利比例52.23%，筹码状态相对发散。,11.43,7.17,52.23%,9.12,8.06,8.10,9.96,10.30%,7.65,10.59,16.12%,311,3635,个股近期人气趋势图，目前市场人气排名为311/3635，用户高度关注。,45,55,45
12,05-28,000957,中通客车,8.61,8.45,该股近120天的平均成本8.61元，盈利比例37.15%，筹码状态相对密集。,11.43,7.17,37.15%,8.75,8.06,8.13,9.93,9.97%,7.68,10.56,15.79%,356,3635,个股近期人气趋势图，目前市场人气排名为356/3635，用户高度关注。,46,54,46
13,05-28,000957,中通客车,8.61,8.32,该股近120天的平均成本8.61元，盈利比例28.80%，筹码状态相对密集。,11.43,7.17,28.80%,8.75,8.06,8.13,9.93,9.97%,7.68,10.56,15.79%,356,3635,个股近期人气趋势图，目前市场人气排名为356/3635，用户高度关注。,46,54,46
14,05-29,000957,中通客车,8.58,8.25,该股近120天的平均成本8.58元，盈利比例24.53%，筹码状态相对密集。,11.4,7.2,24.53%,8.75,8.06,8.13,9.90,9.82%,7.68,10.53,15.65%,397,3634,个股近期人气趋势图，目前市场人气排名为397/3634，用户高度关注。,45,55,45
15,05-31,000957,中通客车,8.55,8.00,该股近120天的平均成本8.55元，盈利比例10.59%，筹码状态相对密集。,11.43,7.17,10.59%,8.75,8.06,8.10,9.87,9.85%,7.68,10.53,15.65%,510,3634,个股近期人气趋势图，目前市场人气排名为510/3634，用户高度关注。,46,54,46
17,06-03,000957,中通客车,8.55,7.67,该股近120天的平均成本8.55元，盈利比例4.58%，筹码状态相对发散。,11.43,7.17,4.58%,8.75,8.06,8.04,9.84,10.07%,7.68,10.50,15.51%,551,3636,个股近期人气趋势图，目前市场人气排名为551/3636，用户高度关注。,46,54,46
19,06-03,000957,中通客车,8.52,7.51,该股近120天的平均成本8.52元，盈利比例3.07%，筹码状态相对发散。,11.4,7.2,3.07%,8.75,8.06,8.01,9.81,10.10%,7.59,10.50,16.09%,551,3636,个股近期人气趋势图，目前市场人气排名为551/3636，用户高度关注。,46,54,46
20,06-04,000957,中通客车,8.52,7.50,该股近120天的平均成本8.52元，盈利比例3.09%，筹码状态相对发散。,11.4,7.2,3.09%,8.75,8.06,7.95,9.78,10.32%,7.56,10.50,16.28%,579,3636,个股近期人气趋势图，目前市场人气排名为579/3636，用户高度关注。,46,54,46
21,06-06,000957,中通客车,8.49,7.29,该股近120天的平均成本8.49元，盈利比例0.55%，筹码状态相对发散。,11.43,7.17,0.55%,8.75,8.06,7.89,9.75,10.54%,7.53,10.47,16.33%,613,3639,个股近期人气趋势图，目前市场人气排名为613/3639，用户高度关注。,46,54,46
22,06-10,000957,中通客车,8.49,7.57,该股近120天的平均成本8.49元，盈利比例7.91%，筹码状态相对发散。,11.43,7.17,7.91%,8.75,7.23,7.83,9.75,10.92%,7.53,10.47,16.33%,579,3641,个股近期人气趋势图，目前市场人气排名为579/3641，用户高度关注。,45,55,45
23,06-10,000957,中通客车,8.46,7.85,该股近120天的平均成本8.46元，盈利比例17.92%，筹码状态相对发散。,11.4,7.2,17.92%,8.75,7.23,7.74,9.66,11.03%,7.53,10.47,16.33%,579,3641,个股近期人气趋势图，目前市场人气排名为579/3641，用户高度关注。,45,55,45
24,06-12,000957,中通客车,8.43,7.67,该股近120天的平均成本8.43元，盈利比例11.60%，筹码状态相对发散。,11.43,7.17,11.60%,7.91,7.23,7.74,9.60,10.73%,7.53,10.44,16.19%,618,3641,个股近期人气趋势图，目前市场人气排名为618/3641，用户高度关注。,45,55,45
25,06-12,000957,中通客车,8.4,8.17,该股近120天的平均成本8.4元，盈利比例34.63%，筹码状态相对密集。,11.4,7.2,34.63%,8.75,7.23,7.74,9.42,9.79%,7.53,10.44,16.19%,618,3641,个股近期人气趋势图，目前市场人气排名为618/3641，用户高度关注。,45,55,45
26,06-14,000957,中通客车,8.37,7.67,该股近120天的平均成本8.37元，盈利比例10.67%，筹码状态相对密集。,11.43,7.17,10.67%,8.27,7.23,7.74,9.36,9.47%,7.53,10.41,16.05%,395,3641,个股近期人气趋势图，目前市场人气排名为395/3641，用户高度关注。,44,56,44
27,06-17,000957,中通客车,8.37,7.57,该股近120天的平均成本8.37元，盈利比例7.60%，筹码状态相对密集。,11.43,7.17,7.60%,8.27,7.23,7.74,9.33,9.31%,7.53,10.41,16.05%,493,3646,个股近期人气趋势图，目前市场人气排名为493/3646，用户高度关注。,44,56,44
