,cur_date,stock_code,stock_name,cost_avg,close_price,distribution_desc,max_price,min_price,profit_rate,ylw,zcw,cost70_jgqj_down,cost70_jgqj_up,cost70_jzd,cost90_jgqj_down,cost90_jgqj_up,cost90_jzd,popularity,total_stock,popularity_desc,new_rate,old_rate,old_avg_rate
0,05-17,300130,新国都,17.36,16.50,该股近120天的平均成本17.36元，盈利比例22.04%，筹码状态相对密集。,19.88,10.85,22.04%,18.09,15.62,15.68,18.34,7.82%,12.81,18.83,19.03%,2077,3630,个股近期人气趋势图，目前市场人气排名为2077/3630，用户中度关注。,40,60,40
1,05-20,300130,新国都,17.36,16.56,该股近120天的平均成本17.36元，盈利比例23.50%，筹码状态相对密集。,19.88,10.85,23.50%,18.09,16.5,15.75,18.34,7.60%,12.81,18.83,19.03%,2213,3632,个股近期人气趋势图，目前市场人气排名为2213/3632，用户中度关注。,40,60,40
3,05-20,300130,新国都,17.36,16.99,该股近120天的平均成本17.36元，盈利比例36.40%，筹码状态相对密集。,19.88,10.85,36.40%,18.09,16.5,15.75,18.34,7.60%,12.88,18.83,18.76%,2213,3632,个股近期人气趋势图，目前市场人气排名为2213/3632，用户中度关注。,40,60,40
4,05-21,300130,新国都,17.36,16.99,该股近120天的平均成本17.36元，盈利比例36.40%，筹码状态相对密集。,19.88,10.85,36.40%,18.09,16.5,15.75,18.34,7.60%,12.88,18.83,18.76%,2296,3631,个股近期人气趋势图，目前市场人气排名为2296/3631，用户中度关注。,40,60,40
5,05-22,300130,新国都,17.36,18.14,该股近120天的平均成本17.36元，盈利比例81.52%，筹码状态相对密集。,19.88,10.85,81.52%,18.09,16.5,15.82,18.27,7.19%,12.88,18.83,18.76%,1763,3631,个股近期人气趋势图，目前市场人气排名为1763/3631，用户中度关注。,40,60,40
7,05-23,300130,新国都,17.36,16.80,该股近120天的平均成本17.36元，盈利比例29.76%，筹码状态相对密集。,19.88,10.85,29.76%,18.28,16.5,15.89,18.27,6.97%,12.95,18.76,18.32%,1633,3630,个股近期人气趋势图，目前市场人气排名为1633/3630，用户中度关注。,39,61,39
9,05-24,300130,新国都,17.36,16.94,该股近120天的平均成本17.36元，盈利比例35.04%，筹码状态相对密集。,19.88,10.85,35.04%,18.28,16.66,15.89,18.27,6.97%,12.95,18.76,18.32%,1618,3632,个股近期人气趋势图，目前市场人气排名为1618/3632，用户中度关注。,39,61,39
11,05-27,300130,新国都,17.29,17.36,该股近120天的平均成本17.29元，盈利比例52.90%，筹码状态相对密集。,19.81,10.78,52.90%,18.28,16.66,15.96,18.27,6.75%,13.02,18.76,18.06%,1664,3635,个股近期人气趋势图，目前市场人气排名为1664/3635，用户中度关注。,39,61,39
12,05-28,300130,新国都,17.29,16.66,该股近120天的平均成本17.29元，盈利比例24.75%，筹码状态相对密集。,19.81,10.78,24.75%,18.28,16.5,16.03,18.27,6.53%,13.02,18.76,18.06%,1624,3635,个股近期人气趋势图，目前市场人气排名为1624/3635，用户中度关注。,39,61,39
13,05-28,300130,新国都,17.29,16.74,该股近120天的平均成本17.29元，盈利比例27.45%，筹码状态相对密集。,19.81,10.78,27.45%,18.28,16.55,16.03,18.27,6.53%,13.02,18.76,18.06%,1624,3635,个股近期人气趋势图，目前市场人气排名为1624/3635，用户中度关注。,39,61,39
