,date,name,code,jeton,price,percentage
0,05-28,中通客车,000957,106868.775238967,7.17,0.031914811184712184
1,05-28,中通客车,000957,406845.610395267,7.23,0.1225152705434061
2,05-28,中通客车,000957,923249.157665658,7.29,0.28032945965632455
3,05-28,中通客车,000957,1643499.18988402,7.35,0.5031287387048797
4,05-28,中通客车,000957,1797937.08029787,7.41,0.5549003372830429
5,05-28,中通客车,000957,1936164.80642208,7.47,0.6024003493079512
6,05-28,中通客车,000957,2127540.70486785,7.53,0.6672600837038187
7,05-28,中通客车,000957,2422627.19902413,7.59,0.7658622374037514
8,05-28,中通客车,000957,2886003.52662256,7.65,0.9195610851558083
9,05-28,中通客车,000957,3132462.50451818,7.71,1.0059179333557855
10,05-28,中通客车,000957,3014985.70629828,7.77,0.9757275505044344
11,05-28,中通客车,000957,2958576.7796435,7.83,0.9648657666117291
12,05-28,中通客车,000957,3209505.67515947,7.89,1.0547206346343558
13,05-28,中通客车,000957,3198726.81811706,7.95,1.0591721957989277
14,05-28,中通客车,000957,3652920.62748263,8.01,1.2186950392640334
15,05-28,中通客车,000957,5351624.14014085,8.06,1.7965650112741476
16,05-28,中通客车,000957,9452635.06993938,8.13,3.200852995183143
17,05-28,中通客车,000957,11596738.7739482,8.19,3.9558705151831353
18,05-28,中通客车,000957,11668954.5540683,8.25,4.009665912593695
19,05-28,中通客车,000957,10564514.6093084,8.31,3.656561340425147
20,05-28,中通客车,000957,10719027.2146002,8.37,3.7368281255710394
21,05-28,中通客车,000957,11175556.76155,8.43,3.9239099740175205
22,05-28,中通客车,000957,11519750.897086,8.49,4.0735501726941585
23,05-28,中通客车,000957,12826088.5734306,8.55,4.567542961454443
24,05-28,中通客车,000957,13571624.1508252,8.61,4.866954283738475
25,05-28,中通客车,000957,13138889.0339189,8.67,4.744604689204865
26,05-28,中通客车,000957,12457510.1917499,8.73,4.529682754167358
27,05-28,中通客车,000957,10356593.3935351,8.75,3.7743943238401036
28,05-28,中通客车,000957,9122092.94387442,8.85,3.36248267312616
29,05-28,中通客车,000957,7866376.87287859,8.91,2.91927323062064
30,05-28,中通客车,000957,6817738.41038501,8.97,2.547153209858855
31,05-28,中通客车,000957,4203681.50608246,9.03,1.581029035832932
32,05-28,中通客车,000957,2573061.7929254,9.09,0.974173677880537
33,05-28,中通客车,000957,2086338.62572783,9.15,0.7951117731595903
34,05-28,中通客车,000957,2070033.95477066,9.21,0.79407110121422
35,05-28,中通客车,000957,2103180.95964984,9.27,0.8120423269735879
36,05-28,中通客车,000957,1767821.68830767,9.33,0.6869773097419157
37,05-28,中通客车,000957,1432462.41696551,9.39,0.5602361387530372
38,05-28,中通客车,000957,1115739.97206568,9.45,0.43915425217726545
39,05-28,中通客车,000957,901768.404063341,9.51,0.3571887919930481
40,05-28,中通客车,000957,870258.766625203,9.57,0.3468826961991509
41,05-28,中通客车,000957,959511.724290513,9.63,0.384856534066981
42,05-28,中通客车,000957,1141909.93604521,9.69,0.4608694497382708
43,05-28,中通客车,000957,1792373.10671265,9.75,0.7278725247123718
44,05-28,中通客车,000957,2275288.36847193,9.81,0.9296677070071717
45,05-28,中通客车,000957,2785220.08262755,9.87,1.1449827984309002
46,05-28,中通客车,000957,2771012.10870202,9.93,1.1460668838119261
47,05-28,中通客车,000957,2756804.13477649,9.99,1.147079956547969
48,05-28,中通客车,000957,2742596.16085096,10.05,1.1480220166390287
49,05-28,中通客车,000957,2685792.99025653,10.11,1.130956713879973
50,05-28,中通客车,000957,2705072.09151647,10.17,1.1458350115111737
51,05-28,中通客车,000957,2846017.67681873,10.23,1.2126501320666068
52,05-28,中通客车,000957,2974830.20915087,10.29,1.2749696575972282
53,05-28,中通客车,000957,2969843.20447061,10.35,1.2802540614306424
54,05-28,中通客车,000957,2614903.97854816,10.41,1.1337799350704216
55,05-28,中通客车,000957,2259964.75262571,10.47,0.9855317926982679
56,05-28,中通客车,000957,1905025.52670327,10.53,0.8355096343141857
57,05-28,中通客车,000957,1673392.65483875,10.59,0.7381015374854438
58,05-28,中通客车,000957,1605123.10376298,10.65,0.7120004124146218
59,05-28,中通客车,000957,1631193.58809391,10.71,0.7276411774905659
60,05-28,中通客车,000957,1491668.24609499,10.77,0.6691295962577605
61,05-28,中通客车,000957,1352142.90409606,10.83,0.6099206556667864
62,05-28,中通客车,000957,1212617.56209714,10.89,0.550014355717653
63,05-28,中通客车,000957,1073092.22009822,10.95,0.48941069641035545
64,05-28,中通客车,000957,933566.878099289,11.01,0.42810967774488906
65,05-28,中通客车,000957,794041.536100362,11.07,0.36611129972126033
66,05-28,中通客车,000957,654516.194101435,11.13,0.3034155623394677
67,05-28,中通客车,000957,514990.852102513,11.19,0.24002246559951332
68,05-28,中通客车,000957,375465.510103586,11.25,0.17593200950139254
69,05-28,中通客车,000957,235940.16810466,11.31,0.11114419404510831
70,05-28,中通客车,000957,96414.8261057374,11.37,0.04565901923066162
71,05-28,中通客车,000957,9981.27575455182,11.43,0.004751760860292566
