,date,name,code,jeton,price,percentage
0,06-04,中通客车,000957,183082.42755337,7.2,0.05576519472597175
1,06-04,中通客车,000957,513905.835145816,7.26,0.15783533412763068
2,06-04,中通客车,000957,1075693.47536858,7.32,0.33310693915139045
3,06-04,中通客车,000957,1470144.06149802,7.38,0.4589869313743322
4,06-04,中通客车,000957,2250604.9806794,7.44,0.7083636638347002
5,06-04,中通客车,000957,4260908.52055519,7.5,1.3519092450462364
6,06-04,中通客车,000957,6129429.38117034,7.56,1.9603151921581186
7,06-04,中通客车,000957,5008778.68039423,7.62,1.6146220456264744
8,06-04,中通客车,000957,4139992.85167764,7.68,1.3450699665610668
9,06-04,中通客车,000957,4344498.84987134,7.74,1.4225407356484405
10,06-04,中通客车,000957,3974605.87120191,7.8,1.3115134137807047
11,06-04,中通客车,000957,3778856.58964019,7.86,1.2565131002118555
12,06-04,中通客车,000957,3564775.19267019,7.92,1.1943768933650356
13,06-04,中通客车,000957,4604890.92823594,7.98,1.5545557577520082
14,06-04,中通客车,000957,6368301.08986961,8.04,2.166026180250345
15,06-04,中通客车,000957,9082257.60730706,8.06,3.09679831600162
16,06-04,中通客车,000957,11582486.257266,8.16,3.998305889880764
17,06-04,中通客车,000957,11478555.4475928,8.22,3.9915641956050774
18,06-04,中通客车,000957,11788277.6202222,8.28,4.129188948521325
19,06-04,中通客车,000957,13204209.3217071,8.34,4.658676086849131
20,06-04,中通客车,000957,12693969.7796489,8.4,4.51087518563151
21,06-04,中通客车,000957,11433608.1465864,8.46,4.092019846205911
22,06-04,中通客车,000957,10495238.1664804,8.52,3.7828224476815677
23,06-04,中通客车,000957,11788578.2771468,8.58,4.278906373357513
24,06-04,中通客车,000957,11461673.1627051,8.64,4.189342107892076
25,06-04,中通客车,000957,10962628.9259463,8.7,4.034763012456726
26,06-04,中通客车,000957,9492694.72091267,8.75,3.513837164142285
27,06-04,中通客车,000957,8342486.31611352,8.82,3.11277802934955
28,06-04,中通客车,000957,7228153.7508334,8.88,2.71534121761604
29,06-04,中通客车,000957,6289029.38796191,8.94,2.378511235732342
30,06-04,中通客车,000957,4573526.17691214,9.0,1.7413166111032652
31,06-04,中通客车,000957,2776530.03956931,9.06,1.0641788873742655
32,06-04,中通客车,000957,1704372.1193215,9.12,0.6575720176617214
33,06-04,中通客车,000957,1769534.44477382,9.18,0.6872041386626799
34,06-04,中通客车,000957,1787337.59118501,9.24,0.6986547645231939
35,06-04,中通客车,000957,1657903.72414403,9.3,0.6522683713943764
36,06-04,中通客车,000957,1370643.06562821,9.36,0.5427305723372194
37,06-04,中通客车,000957,1083382.40711237,9.42,0.43173449145828
38,06-04,中通客车,000957,836031.388003869,9.48,0.3352856641309012
39,06-04,中通客车,000957,758937.854800767,9.54,0.30629411635007314
40,06-04,中通客车,000957,753178.488605459,9.6,0.30588149568680184
41,06-04,中通客车,000957,890610.685137897,9.66,0.36395617492336774
42,06-04,中通客车,000957,1256718.02029064,9.72,0.5167591459894022
43,06-04,中通客车,000957,1813889.07448098,9.78,0.7504705323463317
44,06-04,中通客车,000957,2143698.97651157,9.84,0.8923658941893133
45,06-04,中通客车,000957,2379667.20252044,9.9,0.9966335066630343
46,06-04,中通客车,000957,2367496.99494071,9.96,0.9975457879935395
47,06-04,中通客车,000957,2355326.78736097,10.02,0.9983962871344
48,06-04,中通客车,000957,2343156.57978123,10.08,0.9991850040856197
49,06-04,中通客车,000957,2308842.46492192,10.14,0.9904129741489811
50,06-04,中通客车,000957,2325356.47779343,10.2,1.0033992588811944
51,06-04,中通客车,000957,2550303.63870599,10.26,1.1069380487016096
52,06-04,中通客车,000957,2546031.89084961,10.32,1.1115464112662392
53,06-04,中通客车,000957,2391879.82938093,10.38,1.0503179177098059
54,06-04,中通客车,000957,2087847.45429996,10.44,0.9221112644968145
55,06-04,中通客车,000957,1783815.07921899,10.5,0.7923611876625648
56,06-04,中通客车,000957,1502158.83570831,10.56,0.6710638423887928
57,06-04,中通客车,000957,1396850.13332628,10.62,0.6275645378703414
58,06-04,中通客车,000957,1386075.38766993,10.68,0.626241968247016
59,06-04,中通客车,000957,1337484.0411491,10.74,0.6076828144193526
60,06-04,中通客车,000957,1217970.00039558,10.8,0.5564734023093403
61,06-04,中通客车,000957,1098455.95964206,10.86,0.5046572758863478
62,06-04,中通客车,000957,978941.918888537,10.92,0.4522344351503736
63,06-04,中通客车,000957,859427.878135016,10.98,0.3992048801014202
64,06-04,中通客车,000957,739913.837381498,11.04,0.3455686107394879
65,06-04,中通客车,000957,620399.796627977,11.1,0.29132562706457404
66,06-04,中通客车,000957,500885.755874456,11.16,0.2364759290766799
67,06-04,中通客车,000957,381371.715120935,11.22,0.18101951677580552
68,06-04,中通客车,000957,261857.674367418,11.28,0.1249563901619528
69,06-04,中通客车,000957,142343.633613897,11.34,0.06828654923511795
70,06-04,中通客车,000957,34198.8797221028,11.4,0.016493043160658256
