,date,name,code,jeton,price,percentage
0,06-04,亚星客车,600213,17169.6579768897,8.85,0.013207948837503605
1,06-04,亚星客车,600213,36247.0557289893,8.95,0.028198514749748698
2,06-04,亚星客车,600213,25890.7540921351,9.05,0.020366844252611704
3,06-04,亚星客车,600213,19429.350165906,9.15,0.015452894256578184
4,06-04,亚星客车,600213,18810.292805614,9.25,0.015124037723279657
5,06-04,亚星客车,600213,23369.386263749,9.35,0.018992816882750452
6,06-04,亚星客车,600213,33106.630540311,9.45,0.027194260536665356
7,06-04,亚星客车,600213,23369.3862637488,9.55,0.01939908034548292
8,06-04,亚星客车,600213,13632.1419871868,9.65,0.011434623711495387
9,06-04,亚星客车,600213,3894.89771062474,9.75,0.00330089063470254
10,06-04,亚星客车,600213,470522.889596404,9.95,0.40694367191261743
11,06-04,亚星客车,600213,1181699.95982809,10.05,1.0322948145351123
12,06-04,亚星客车,600213,3198159.46516213,10.1,2.807708078560939
13,06-04,亚星客车,600213,5744130.24524128,10.25,5.117744584556966
14,06-04,亚星客车,600213,7387325.78155216,10.35,6.645965231226526
15,06-04,亚星客车,600213,8932496.05099943,10.45,8.113711970585168
16,06-04,亚星客车,600213,9240722.50605469,10.55,8.474007649476256
17,06-04,亚星客车,600213,7779808.50757828,10.65,7.201931368746791
18,06-04,亚星客车,600213,5603662.74633069,10.75,5.236135987992782
19,06-04,亚星客车,600213,6113501.43289019,10.85,5.765675814855646
20,06-04,亚星客车,600213,7288153.35332617,10.95,6.936846503777678
21,06-04,亚星客车,600213,8532297.86819419,11.05,8.195184772621431
22,06-04,亚星客车,600213,5657757.73341101,11.15,5.4833968416671715
23,06-04,亚星客车,600213,3141189.64744001,11.25,3.0716882976180506
24,06-04,亚星客车,600213,1123915.30187684,11.35,1.1088170845141316
25,06-04,亚星客车,600213,494617.522994812,11.45,0.49227235586826606
26,06-04,亚星客车,600213,567661.875081315,11.55,0.5699046163975626
27,06-04,亚星客车,600213,630974.710610198,11.65,0.6389521587036547
28,06-04,亚星客车,600213,719374.06597217,11.75,0.7347221060891249
29,06-04,亚星客车,600213,721158.539843197,11.85,0.742813117317508
30,06-04,亚星客车,600213,942334.335199731,11.95,0.9788212383297092
31,06-04,亚星客车,600213,1279026.77128332,12.05,1.3396678804346462
32,06-04,亚星客车,600213,1749462.18114634,12.15,1.8476142357080036
33,06-04,亚星客车,600213,2124033.88300609,12.25,2.2616635165389947
34,06-04,亚星客车,600213,2099731.98407603,12.35,2.2540382653539868
35,06-04,亚星客车,600213,1954207.21065327,12.45,2.114805475150904
36,06-04,亚星客车,600213,1854480.2064571,12.55,2.0230023691795007
37,06-04,亚星客车,600213,1428557.86339209,12.65,1.5707925211386218
38,06-04,亚星客车,600213,1025606.62421509,12.75,1.1366361522336912
39,06-04,亚星客车,600213,789468.031407088,12.85,0.8817960303047853
40,06-04,亚星客车,600213,684790.686203603,12.95,0.7708290556032152
41,06-04,亚星客车,600213,590447.18237628,13.05,0.6697643532144081
42,06-04,亚星客车,600213,503718.689770975,13.15,0.5757637007331945
43,06-04,亚星客车,600213,426370.24006517,13.25,0.4910584917348194
44,06-04,亚星客车,600213,349021.790359364,13.35,0.40500862401670484
45,06-04,亚星客车,600213,260680.995488411,13.45,0.304762914678445
46,06-04,亚星客车,600213,172340.200617456,13.55,0.20298145096393308
47,06-04,亚星客车,600213,128825.24184693,13.65,0.15284952065163687
48,06-04,亚星客车,600213,130136.11917683,13.75,0.1555360311652554
49,06-04,亚星客车,600213,134547.887131447,13.85,0.16197840527080914
50,06-04,亚星客车,600213,142060.545710783,13.95,0.1722575037929196
51,06-04,亚星客车,600213,149573.204290118,14.05,0.18266720560320782
52,06-04,亚星客车,600213,127528.956858011,14.15,0.15685404050264168
53,06-04,亚星客车,600213,75927.8034144625,14.25,0.09404726354000557
54,06-04,亚星客车,600213,29065.5258107651,14.35,0.036254385494480346
55,06-04,亚星客车,600213,24853.1307657267,14.45,0.031216155484844972
56,06-04,亚星客车,600213,20640.7357206882,14.55,0.026104695387860113
57,06-04,亚星客车,600213,16428.3406756498,14.65,0.02092000520352603
58,06-04,亚星客车,600213,12215.9456306114,14.75,0.015662084931842596
59,06-04,亚星客车,600213,8003.55058557298,14.85,0.010330934572809782
60,06-04,亚星客车,600213,3791.15554053457,14.95,0.004926554126427632
