,date,name,code,jeton,price,percentage
0,05-28,京东方A,000725,1437891.6608085,2.53,0.009221720978980726
1,05-28,京东方A,000725,8263453.11243355,2.56,0.053624940586996385
2,05-28,京东方A,000725,20643766.311645,2.59,0.135535789461718
3,05-28,京东方A,000725,24866106.5710878,2.62,0.1651484011193226
4,05-28,京东方A,000725,32907088.4533196,2.65,0.2210551432508807
5,05-28,京东方A,000725,49480824.4720666,2.68,0.33615301663108704
6,05-28,京东方A,000725,40459215.7510849,2.71,0.2779406332495937
7,05-28,京东方A,000725,23399753.9748526,2.74,0.16252760871261412
8,05-28,京东方A,000725,14663833.6979824,2.77,0.10296570258143378
9,05-28,京东方A,000725,13928599.6918906,2.8,0.09886231589235843
10,05-28,京东方A,000725,10522382.2495844,2.83,0.07548589376163015
11,05-28,京东方A,000725,12724593.1281683,2.86,0.09225188080488514
12,05-28,京东方A,000725,8818274.52422076,2.89,0.06460211686923482
13,05-28,京东方A,000725,10374440.6167303,2.92,0.07679144362229415
14,05-28,京东方A,000725,8169871.9856751,2.95,0.06109456248802803
15,05-28,京东方A,000725,4084935.99283755,2.98,0.030857931561749753
16,05-28,京东方A,000725,1691848.11467701,3.14,0.013466548865249978
17,05-28,京东方A,000725,6767392.45870789,3.17,0.05438084064056238
18,05-28,京东方A,000725,11842936.8027388,3.2,0.09606710018522055
19,05-28,京东方A,000725,10827827.9339326,3.23,0.0886562095995034
20,05-28,京东方A,000725,6767392.45870792,3.26,0.055924776179253684
21,05-28,京东方A,000725,13417705.7004452,3.29,0.11190241297762997
22,05-28,京东方A,000725,66066321.1526041,3.3,0.5526616833908904
23,05-28,京东方A,000725,205550090.178022,3.35,1.7455318201382477
24,05-28,京东方A,000725,363453567.585659,3.38,3.1140883366199237
25,05-28,京东方A,000725,564093710.420012,3.41,4.876081185649673
26,05-28,京东方A,000725,437997664.301488,3.44,3.819403384740163
27,05-28,京东方A,000725,379971750.132369,3.47,3.3423049757546606
28,05-28,京东方A,000725,252181941.858528,3.5,2.2374189931025033
29,05-28,京东方A,000725,89297866.6980735,3.53,0.7990631090398443
30,05-28,京东方A,000725,98368379.5071564,3.56,0.8877093750742939
31,05-28,京东方A,000725,122281713.112401,3.59,1.1128106015426105
32,05-28,京东方A,000725,86286400.1679188,3.62,0.7918013043132002
33,05-28,京东方A,000725,60352410.3691366,3.65,0.5584094711161135
34,05-28,京东方A,000725,58766454.7754074,3.68,0.5482045071543208
35,05-28,京东方A,000725,72895361.1147078,3.71,0.6855499331991256
36,05-28,京东方A,000725,102480169.5309,3.74,0.9715758895239333
37,05-28,京东方A,000725,177866627.926373,3.77,1.6998128706260571
38,05-28,京东方A,000725,284481635.312829,3.8,2.740331632355973
39,05-28,京东方A,000725,477156608.896821,3.83,4.632602198105776
40,05-28,京东方A,000725,585665594.056325,3.86,5.730629189376409
41,05-28,京东方A,000725,575514643.94467,3.89,5.675070637263485
42,05-28,京东方A,000725,581917918.0122,3.92,5.7824660072911875
43,05-28,京东方A,000725,790351588.332917,3.95,7.913757124981354
44,05-28,京东方A,000725,706297943.447472,3.98,7.1258439145877235
45,05-28,京东方A,000725,403732154.863422,4.01,4.103958910311265
46,05-28,京东方A,000725,290983943.108475,4.04,2.9799960011303974
47,05-28,京东方A,000725,298524960.577992,4.07,3.0799264848057306
48,05-28,京东方A,000725,303960161.529415,4.1,3.159117758410379
49,05-28,京东方A,000725,236522075.185502,4.13,2.476207438571574
50,05-28,京东方A,000725,157235149.226435,4.16,1.6580906079685462
51,05-28,京东方A,000725,154689350.25968,4.19,1.6430081955643137
52,05-28,京东方A,000725,192223408.828789,4.22,2.056288359832648
53,05-28,京东方A,000725,150286145.230637,4.25,1.6190981132336029
54,05-28,京东方A,000725,120590581.310286,4.28,1.308345512659457
55,05-28,京东方A,000725,96063085.2516985,4.31,1.0495402352805112
56,05-28,京东方A,000725,101423940.901998,4.34,1.1158234966021423
57,05-28,京东方A,000725,114588053.041639,4.37,1.2693636832093107
58,05-28,京东方A,000725,91165213.2267934,4.4,1.0168271181566195
59,05-28,京东方A,000725,64603639.7710665,4.43,0.7254809358768709
60,05-28,京东方A,000725,37189700.4410028,4.46,0.42045820353309604
61,05-28,京东方A,000725,20625963.9257949,4.49,0.2347609651670219
62,05-28,京东方A,000725,15469472.9443463,4.52,0.17724714296574845
63,05-28,京东方A,000725,10312981.9628975,4.55,0.11894904137081899
64,05-28,京东方A,000725,5156490.98144876,4.58,0.0598666603822365
