,date,name,code,jeton,price,percentage
0,05-31,广和通,300638,2165.60863503706,25.2,0.0021019031572134562
1,05-31,广和通,300638,124983.646819808,26.0,0.1251580326241317
2,05-31,广和通,300638,180327.916764146,26.8,0.18613581571755475
3,05-31,广和通,300638,483448.398913151,27.6,0.5139151203534172
4,05-31,广和通,300638,886499.962040919,28.4,0.9696818095861535
5,05-31,广和通,300638,324747.58048677,29.2,0.3652253911043108
6,05-31,广和通,300638,296983.579386336,30.0,0.3431514823380347
7,05-31,广和通,300638,212584.452005008,30.8,0.2521821840936798
8,05-31,广和通,300638,120625.053499232,31.6,0.14681038882445283
9,05-31,广和通,300638,114329.037404894,32.4,0.14267035584965088
10,05-31,广和通,300638,92765.5775021961,33.2,0.11861978255429541
11,05-31,广和通,300638,7074.43295866087,35.6,0.009700046598395533
12,05-31,广和通,300638,69958.2814800882,36.4,0.09807824893932893
13,05-31,广和通,300638,32654.3035436475,37.2,0.04678596080699865
14,05-31,广和通,300638,102256.603214291,39.6,0.1559619782970225
15,05-31,广和通,300638,332023.320257617,40.4,0.5166329967923864
16,05-31,广和通,300638,239237.877607276,41.2,0.3796289679361435
17,05-31,广和通,300638,237847.107078195,42.0,0.3847506402383656
18,05-31,广和通,300638,202804.65286467,42.8,0.3343134666112675
19,05-31,广和通,300638,1045048.01079681,43.0,1.7307601444603737
20,05-31,广和通,300638,2566382.31233748,44.4,4.388706227077523
21,05-31,广和通,300638,5698448.85880201,45.2,9.920356449657442
22,05-31,广和通,300638,5067846.24374876,46.0,8.97869975418215
23,05-31,广和通,300638,4764732.93383371,46.8,8.588485832134808
24,05-31,广和通,300638,3635499.95776841,47.6,6.665048038592146
25,05-31,广和通,300638,749001.328285035,48.4,1.3962401965898068
26,05-31,广和通,300638,400195.716019556,48.9,0.7537259741490243
27,05-31,广和通,300638,257601.57061647,50.0,0.4960788347978871
28,05-31,广和通,300638,88067.5042639031,50.8,0.17231043891134476
29,05-31,广和通,300638,288068.378213098,51.6,0.5725026173797553
30,05-31,广和通,300638,391426.619202717,52.4,0.7899758794629462
31,05-31,广和通,300638,349115.877473704,53.2,0.7153414985740678
32,05-31,广和通,300638,239605.212810631,54.0,0.4983359397149491
33,05-31,广和通,300638,328567.71589903,54.8,0.6934858985323674
34,05-31,广和通,300638,756269.201833231,55.6,1.6195091032160318
35,05-31,广和通,300638,1214370.85701343,56.4,2.6379261164548704
36,05-31,广和通,300638,1818673.27802955,57.2,4.006663796131173
37,05-31,广和通,300638,1641980.52738294,58.0,3.667990340312502
38,05-31,广和通,300638,2138905.15737488,58.8,4.843965496767653
39,05-31,广和通,300638,1247457.62064989,59.6,2.863546550378191
40,05-31,广和通,300638,1485725.29299128,60.4,3.456269849050084
41,05-31,广和通,300638,2168844.62045861,61.2,5.112249592851369
42,05-31,广和通,300638,1763333.35903275,62.0,4.210738783384073
43,05-31,广和通,300638,1049991.18936522,62.8,2.53967115215723
44,05-31,广和通,300638,918997.050883947,63.6,2.2511447466714394
45,05-31,广和通,300638,882414.705832388,64.4,2.1887229504967323
46,05-31,广和通,300638,574307.607612585,65.2,1.442196217772068
47,05-31,广和通,300638,329856.132525181,66.0,0.8384954021701471
48,05-31,广和通,300638,337365.519780699,66.8,0.8679792510083841
49,05-31,广和通,300638,325808.961591358,67.6,0.8482852370876721
50,05-31,广和通,300638,340686.529089417,68.4,0.8975181724913507
51,05-31,广和通,300638,355564.096587476,69.2,0.9476679279384972
52,05-31,广和通,300638,370441.664085534,70.0,0.9987345034291093
53,05-31,广和通,300638,349907.250539555,70.8,0.9541538054249645
54,05-31,广和通,300638,256286.581498872,71.6,0.706758561050283
55,05-31,广和通,300638,162665.912458187,72.4,0.4535940062106565
56,05-31,广和通,300638,69045.2434175044,73.2,0.19466014090609715
