,date,name,code,jeton,price,percentage
0,06-03,广和通,300638,2102.577973901,25.2,0.002051487378661285
1,06-03,广和通,300638,121345.961892442,26.0,0.1221560200741489
2,06-03,广和通,300638,175079.420968996,26.8,0.18167120371407652
3,06-03,广和通,300638,469377.494449777,27.6,0.5015884673325914
4,06-03,广和通,300638,860698.126104125,28.4,0.9464232387950167
5,06-03,广和通,300638,315295.708911615,29.2,0.3564651766404076
6,06-03,广和通,300638,288339.787035114,30.0,0.3349207277078651
7,06-03,广和通,300638,206397.120489822,30.8,0.24613339868487621
8,06-03,广和通,300638,117114.226681949,31.6,0.1432890277062068
9,06-03,广和通,300638,111001.457943817,32.4,0.13924829663546148
10,06-03,广和通,300638,90065.6087331246,33.2,0.1157745950066959
11,06-03,广和通,300638,6868.52955611026,35.6,0.00946738345234519
12,06-03,广和通,300638,67922.1256104211,36.4,0.09572576601815329
13,06-03,广和通,300638,31703.8906629478,37.2,0.04566376322558234
14,06-03,广和通,300638,99280.3954167013,39.6,0.15222110920255583
15,06-03,广和通,300638,322359.686187341,40.4,0.5042411533957759
16,06-03,广和通,300638,232274.790486913,41.2,0.3705232725030438
17,06-03,广和通,300638,230924.498733414,42.0,0.375522097520071
18,06-03,广和通,300638,196901.965211548,42.8,0.3262946986476548
19,06-03,广和通,300638,1047140.6114184,43.0,1.743370355438553
20,06-03,广和通,300638,3174376.50212003,44.4,5.457045864466103
21,06-03,广和通,300638,6201624.09905763,45.2,10.853256613990172
22,06-03,广和通,300638,4920345.12368885,46.0,8.763338672041053
23,06-03,广和通,300638,4626054.0136921,46.8,8.382484333766357
24,06-03,广和通,300638,3529687.68763294,47.6,6.505181688517913
25,06-03,广和通,300638,727201.429563823,48.4,1.3627502918264363
26,06-03,广和通,300638,388547.904796223,48.9,0.735647271678215
27,06-03,广和通,300638,250104.00293829,50.0,0.48417999892918706
28,06-03,广和通,300638,85504.2742653945,50.8,0.16817743930069767
29,06-03,广和通,300638,279684.065351854,51.6,0.5587706977719
30,06-03,广和通,300638,380034.035060118,52.4,0.7710276948789536
31,06-03,广和通,300638,338954.759617852,53.2,0.6981834775408352
32,06-03,广和通,300638,232631.4342937,54.0,0.4863829654330288
33,06-03,广和通,300638,319004.658185823,54.8,0.6768521010286768
34,06-03,广和通,300638,734257.769565567,55.6,1.5806639204440511
35,06-03,广和通,300638,1179026.24453658,56.4,2.574653411207852
36,06-03,广和通,300638,1765740.27007508,57.2,3.9105608553341575
37,06-03,广和通,300638,1594190.21267,58.0,3.5800107452041083
38,06-03,广和通,300638,2076651.70862358,58.8,4.727779224835352
39,06-03,广和通,300638,1211150.00841716,59.6,2.7948621639152633
40,06-03,广和通,300638,1442482.83174103,60.4,3.3733685342448667
41,06-03,广和通,300638,2105719.77503771,61.2,4.989628318654189
42,06-03,广和通,300638,1712011.03531048,62.0,4.109740945631363
43,06-03,广和通,300638,1019430.89431376,62.8,2.478755168486399
44,06-03,广和通,300638,892249.377845456,63.6,2.197149292766926
45,06-03,广和通,300638,856731.772450548,64.4,2.1362247318201977
46,06-03,广和通,300638,557592.219791522,65.2,1.4076040221733133
47,06-03,广和通,300638,320255.575076125,66.0,0.8183834391771116
48,06-03,广和通,300638,327546.399459394,66.8,0.8471600950179976
49,06-03,广和通,300638,316326.198214399,67.6,0.8279384573060653
50,06-03,广和通,300638,330770.749838617,68.4,0.8759905025434845
51,06-03,广和通,300638,345215.301462834,69.2,0.9249373771840652
52,06-03,广和通,300638,359659.853087051,70.0,0.9747790812278103
53,06-03,广和通,300638,339723.099543394,70.8,0.9312676858652104
54,06-03,广和通,300638,248827.286956533,71.6,0.6898064084349367
55,06-03,广和通,300638,157931.474369671,72.4,0.4427142019288922
56,06-03,广和通,300638,67035.6617828103,73.2,0.1899910663470834
