,date,name,code,jeton,price,percentage
0,06-13,广电网络,600831,56609.9741633972,8.96,0.013779416355403447
1,06-13,广电网络,600831,164664.350132488,9.04,0.04043876385831584
2,06-13,广电网络,600831,325153.978024558,9.12,0.08055894434262181
3,06-13,广电网络,600831,485643.605916628,9.2,0.12137670930618075
4,06-13,广电网络,600831,738225.865308722,9.28,0.18610887775120583
5,06-13,广电网络,600831,898779.230663121,9.36,0.22853816358411622
6,06-13,广电网络,600831,1452920.89361843,9.44,0.3726008317090559
7,06-13,广电网络,600831,1351531.37010033,9.52,0.3495368236790404
8,06-13,广电网络,600831,1149047.67967243,9.6,0.2996671514997177
9,06-13,广电网络,600831,920341.078486318,9.68,0.24202154029770415
10,06-13,广电网络,600831,847062.060119792,9.76,0.22459232154591133
11,06-13,广电网络,600831,1661890.89064227,9.84,0.44425002640462513
12,06-13,广电网络,600831,3450141.95008827,9.92,0.9297763440988115
13,06-13,广电网络,600831,4921793.39295757,10.0,1.3370672010521911
14,06-13,广电网络,600831,5572370.4450494,10.08,1.525915093260073
15,06-13,广电网络,600831,5760121.36652208,10.16,1.589846512879856
16,06-13,广电网络,600831,6485523.29801326,10.24,1.804159115606403
17,06-13,广电网络,600831,5972420.82767071,10.32,1.6744028522890166
18,06-13,广电网络,600831,5211065.36764156,10.4,1.47227764160223
19,06-13,广电网络,600831,4925386.24070882,10.48,1.4022693191061706
20,06-13,广电网络,600831,4924615.32893212,10.56,1.412752509191788
21,06-13,广电网络,600831,5507843.44997236,10.64,1.5920366900266965
22,06-13,广电网络,600831,6665520.39706386,10.72,1.9411482450666613
23,06-13,广电网络,600831,7208397.9877131,10.79,2.1129540759636063
24,06-13,广电网络,600831,8144899.8222165,10.88,2.407379173008716
25,06-13,广电网络,600831,9260943.08331124,10.96,2.757373679822858
26,06-13,广电网络,600831,10641215.0171734,11.04,3.1914654600248236
27,06-13,广电网络,600831,11205240.2614416,11.12,3.3849777382918207
28,06-13,广电网络,600831,11051896.1494095,11.2,3.362673292338743
29,06-13,广电网络,600831,8871060.0962263,11.28,2.7184069854505344
30,06-13,广电网络,600831,8766985.16422897,11.36,2.7055680364647
31,06-13,广电网络,600831,9295197.59218479,11.44,2.8887802562696345
32,06-13,广电网络,600831,11161057.5269796,11.52,3.4929123057326263
33,06-13,广电网络,600831,13937230.2790079,11.6,4.392020125679211
34,06-13,广电网络,600831,19552602.0938067,11.68,6.204078175032802
35,06-13,广电网络,600831,18482967.7696071,11.76,5.904850199809665
36,06-13,广电网络,600831,17229532.9486734,11.84,5.541853792328892
37,06-13,广电网络,600831,15976098.1277396,11.92,5.173409203004044
38,06-13,广电网络,600831,15119667.5070349,12.0,4.928937864819113
39,06-13,广电网络,600831,14260337.8527735,12.08,4.679792592624432
40,06-13,广电网络,600831,12093266.2426312,12.16,3.9949104239963256
41,06-13,广电网络,600831,9136587.31168027,12.24,3.038052560184256
42,06-13,广电网络,600831,6838288.3890872,12.32,2.2886952937731406
43,06-13,广电网络,600831,4943968.79440174,12.4,1.6654333711109521
44,06-13,广电网络,600831,3110360.85479205,12.48,1.0545209673846767
45,06-13,广电网络,600831,1991463.54385367,12.56,0.6795037478670286
46,06-13,广电网络,600831,1140041.62376184,12.61,0.3905401162004846
47,06-13,广电网络,600831,786814.240640144,12.72,0.27188746125228
48,06-13,广电网络,600831,433586.857518444,12.8,0.15077034755982385
49,06-13,广电网络,600831,227330.180094709,12.88,0.07954315549427778
50,06-13,广电网络,600831,266024.678834234,12.96,0.0936605676561405
51,06-13,广电网络,600831,304719.177573758,13.04,0.1079461693895515
52,06-13,广电网络,600831,343413.676313282,13.12,0.1223999606945111
53,06-13,广电网络,600831,382108.175052807,13.2,0.13702194157101968
54,06-13,广电网络,600831,382783.07910059,13.28,0.13809586132074828
55,06-13,广电网络,600831,345438.38845663,13.36,0.12537383589493145
56,06-13,广电网络,600831,308093.69781267,13.44,0.1124894879756433
57,06-13,广电网络,600831,270749.00716871,13.52,0.09944281756288381
58,06-13,广电网络,600831,233404.31652475,13.6,0.08623382465665295
59,06-13,广电网络,600831,196059.62588079,13.68,0.07286250925695079
60,06-13,广电网络,600831,158714.93523683,13.76,0.05932887136377724
61,06-13,广电网络,600831,121370.24459287,13.84,0.04563291097713236
62,06-13,广电网络,600831,84025.55394891,13.92,0.03177462809701614
63,06-13,广电网络,600831,46680.8633049499,14.0,0.017754022723428513
64,06-13,广电网络,600831,9336.17266098981,14.08,0.0035710948563695563
