,date,name,code,jeton,price,percentage
0,06-18,新国都,300130,9616.74463170331,10.85,0.0031653160112076486
1,06-18,新国都,300130,86607.112315783,10.99,0.028874236115629278
2,06-18,新国都,300130,164080.216298676,11.13,0.05540011125447404
3,06-18,新国都,300130,259549.332888629,11.27,0.08873666155414377
4,06-18,新国都,300130,353070.582687804,11.41,0.12220991200632556
5,06-18,新国都,300130,388325.105888522,11.55,0.13606195482312217
6,06-18,新国都,300130,730187.47488553,11.69,0.258945365703846
7,06-18,新国都,300130,1287338.58800753,11.83,0.46199447807132976
8,06-18,新国都,300130,1057539.43804755,11.97,0.3840165797583193
9,06-18,新国都,300130,662643.435264907,12.11,0.24343515489002365
10,06-18,新国都,300130,339469.105157752,12.25,0.12615242316371217
11,06-18,新国都,300130,269436.279313538,12.39,0.10127135752809513
12,06-18,新国都,300130,207413.817024065,12.53,0.07884025268469008
13,06-18,新国都,300130,199431.734639805,12.67,0.07665317254657068
14,06-18,新国都,300130,205401.675494574,12.81,0.07982011778484654
15,06-18,新国都,300130,485142.265583558,12.95,0.19058913241268818
16,06-18,新国都,300130,1461337.58267814,13.09,0.5802958341503633
17,06-18,新国都,300130,766660.449967842,13.23,0.30769621683028714
18,06-18,新国都,300130,220764.986701064,13.37,0.08954077632044173
19,06-18,新国都,300130,30381.646016184,13.51,0.012451621224137996
20,06-18,新国都,300130,104471.842434953,13.86,0.04392600804879269
21,06-18,新国都,300130,250732.421843888,14.0,0.10648729223949778
22,06-18,新国都,300130,516735.423181797,14.14,0.22165467541191036
23,06-18,新国都,300130,749046.827043531,14.28,0.32448634740407967
24,06-18,新国都,300130,829874.059374582,14.42,0.36302514073648606
25,06-18,新国都,300130,649181.744406137,14.56,0.2867391055761094
26,06-18,新国都,300130,468143.392261613,14.7,0.20876394025113512
27,06-18,新国都,300130,441033.093507522,14.84,0.19854745845975358
28,06-18,新国都,300130,447696.858409475,14.98,0.2034487907656652
29,06-18,新国都,300130,614351.130154433,15.12,0.2817913809533795
30,06-18,新国都,300130,940488.741553711,15.24,0.4348082950328461
31,06-18,新国都,300130,2935512.66385748,15.4,1.3713993263062079
32,06-18,新国都,300130,3163522.95611136,15.54,1.4913557651324636
33,06-18,新国都,300130,3145783.28534459,15.68,1.4963531822208835
34,06-18,新国都,300130,4643538.61168519,15.82,2.228511055613058
35,06-18,新国都,300130,6210061.18765344,15.96,3.0066856094752215
36,06-18,新国都,300130,6709111.94910827,16.1,3.2768017533152416
37,06-18,新国都,300130,7363677.73656212,16.24,3.6277725588740837
38,06-18,新国都,300130,6070520.68478808,16.38,3.0164705760032593
39,06-18,新国都,300130,4824514.23871637,16.52,2.4178140009614855
40,06-18,新国都,300130,8561994.68790486,16.66,4.3272222726402525
41,06-18,新国都,300130,9807331.07720304,16.71,4.971489644061386
42,06-18,新国都,300130,11238443.214344,16.94,5.775356722832805
43,06-18,新国都,300130,11368081.3586907,17.08,5.890257651524563
44,06-18,新国都,300130,9469402.94173309,17.22,4.9466934403553315
45,06-18,新国都,300130,8430788.74476148,17.36,4.439940811226657
46,06-18,新国都,300130,10365958.811419,17.5,5.503092087056911
47,06-18,新国都,300130,10016667.7131013,17.64,5.360201308930847
48,06-18,新国都,300130,9408585.40255895,17.78,5.074758044701104
49,06-18,新国都,300130,8675428.49820076,17.92,4.71615633206158
50,06-18,新国都,300130,6915426.33271192,18.06,3.788750074973645
51,06-18,新国都,300130,5985107.03475244,18.2,3.3044756971179914
52,06-18,新国都,300130,5057045.05530867,18.34,2.813554985165857
53,06-18,新国都,300130,4894051.52449974,18.48,2.7436566210361963
54,06-18,新国都,300130,4158653.09655506,18.62,2.3490465524853312
55,06-18,新国都,300130,3132697.42401394,18.76,1.782832476437531
56,06-18,新国都,300130,2307097.99041686,18.9,1.3227784096183508
57,06-18,新国都,300130,1813432.99527439,19.04,1.0474365155890393
58,06-18,新国都,300130,1147135.57869496,19.18,0.667455944351446
59,06-18,新国都,300130,841785.561450423,19.32,0.49336444368786964
60,06-18,新国都,300130,588016.600387957,19.46,0.34712962208207326
61,06-18,新国都,300130,334247.639325492,19.6,0.19873926196879266
62,06-18,新国都,300130,135462.439639583,19.74,0.08111950537040372
63,06-18,新国都,300130,35648.0104314695,19.88,0.021498637108244532
