,date,name,code,jeton,price,percentage
0,06-06,牧原股份,002714,8719532.88375368,27.3,0.7585543937750451
1,06-06,牧原股份,002714,5109962.89543706,28.08,0.4572415743868955
2,06-06,牧原股份,002714,17688298.6286559,28.86,1.6267216618002678
3,06-06,牧原股份,002714,15408036.0265649,29.64,1.4553127891535549
4,06-06,牧原股份,002714,10503617.6162382,30.42,1.0181903437211226
5,06-06,牧原股份,002714,7104430.69242057,31.2,0.7063415226286366
6,06-06,牧原股份,002714,10923655.396954,31.98,1.1132105460380362
7,06-06,牧原股份,002714,2033546.58712755,32.76,0.2122896791619591
8,06-06,牧原股份,002714,3010897.80152178,33.54,0.3218028856788833
9,06-06,牧原股份,002714,4433222.60153345,34.32,0.484839147835661
10,06-06,牧原股份,002714,397004.440377024,35.1,0.044405150064463605
11,06-06,牧原股份,002714,647508.614020896,35.88,0.07403359623948642
12,06-06,牧原股份,002714,1094461.46263709,36.66,0.12785678981182563
13,06-06,牧原股份,002714,782525.620373702,37.44,0.09336095100997151
14,06-06,牧原股份,002714,6766661.54392353,38.22,0.8241305215848939
15,06-06,牧原股份,002714,1618890.40758044,39.0,0.20119302393209432
16,06-06,牧原股份,002714,1137509.11967717,39.78,0.14419510822714482
17,06-06,牧原股份,002714,1672001.35663391,40.56,0.21610530748712625
18,06-06,牧原股份,002714,931000.755398428,41.34,0.12264542909616856
19,06-06,牧原股份,002714,190000.154162948,42.12,0.025501937509407872
20,06-06,牧原股份,002714,1387931.35385315,42.9,0.1897387959449049
21,06-06,牧原股份,002714,2335360.83895391,43.68,0.32506295904714566
22,06-06,牧原股份,002714,5006270.83836181,44.46,0.7092750138116128
23,06-06,牧原股份,002714,9155895.10839109,45.24,1.3199402315576834
24,06-06,牧原股份,002714,11396785.1614965,46.02,1.6713208736248102
25,06-06,牧原股份,002714,9407083.40638631,46.8,1.4029161317282655
26,06-06,牧原股份,002714,5091404.45587438,47.58,0.7719566226135199
27,06-06,牧原股份,002714,5388279.25100063,48.36,0.8303615841546294
28,06-06,牧原股份,002714,7188120.10502446,49.14,1.12559288329023
29,06-06,牧原股份,002714,3387489.96253129,49.92,0.5388693161468999
30,06-06,牧原股份,002714,921639.344271723,50.7,0.14890175858398186
31,06-06,牧原股份,002714,4403891.1607265,51.48,0.7224469746192347
32,06-06,牧原股份,002714,8974845.80296095,52.26,1.4946078620737184
33,06-06,牧原股份,002714,13453272.1736172,52.7,2.259276604450774
34,06-06,牧原股份,002714,15861593.0707145,53.82,2.720328544712805
35,06-06,牧原股份,002714,17258970.7420872,54.6,3.0028828981970115
36,06-06,牧原股份,002714,19153721.7381141,55.38,3.380157886389906
37,06-06,牧原股份,002714,19038367.4802973,56.16,3.4071218514015658
38,06-06,牧原股份,002714,17389711.4903733,56.94,3.1553003159210635
39,06-06,牧原股份,002714,17761836.0207311,57.72,3.266969199791616
40,06-06,牧原股份,002714,19751373.3609338,58.5,3.682002050315409
41,06-06,牧原股份,002714,21070719.8556245,59.28,3.980324037365129
42,06-06,牧原股份,002714,31836291.7176054,60.06,6.093105035426449
43,06-06,牧原股份,002714,23146644.3028144,60.84,4.487537642695292
44,06-06,牧原股份,002714,20167318.8580256,61.62,3.960050462777697
45,06-06,牧原股份,002714,15193744.5176667,62.4,3.021205526992811
46,06-06,牧原股份,002714,11482431.7442263,63.18,2.311768572667854
47,06-06,牧原股份,002714,10355183.9456375,63.96,2.1105572366667307
48,06-06,牧原股份,002714,7478489.760499,64.74,1.5428278143117549
49,06-06,牧原股份,002714,7279444.05091648,65.52,1.5198578206456035
50,06-06,牧原股份,002714,19361077.1114489,66.3,4.090476523346888
51,06-06,牧原股份,002714,21024147.2758863,67.08,4.494095587634049
52,06-06,牧原股份,002714,25845156.6108922,67.86,5.588868417195141
53,06-06,牧原股份,002714,18940456.2456533,68.29,4.121719285701081
54,06-06,牧原股份,002714,10281077.0670714,69.42,2.274333169803773
55,06-06,牧原股份,002714,6594909.11336853,70.2,1.4752879265658527
56,06-06,牧原股份,002714,4153624.07438037,70.98,0.9394940724074808
57,06-06,牧原股份,002714,3868173.41032646,71.76,0.8845435635708304
58,06-06,牧原股份,002714,2304544.71551761,72.54,0.532713314842679
59,06-06,牧原股份,002714,1363421.74268844,73.32,0.3185543450013501
60,06-06,牧原股份,002714,422298.769859259,74.1,0.09971692686212656
