,date,name,code,diff,ranking,total
0,05-09,中通客车,000957,54,186,3627
1,05-10,中通客车,000957,-21,207,3626
2,05-13,中通客车,000957,-11,218,3630
3,05-14,中通客车,000957,-86,304,3629
4,05-15,中通客车,000957,-16,320,3630
5,05-16,中通客车,000957,140,180,3630
6,05-17,中通客车,000957,2,178,3630
13,05-20,中通客车,000957,-34,212,3632
34,05-21,中通客车,000957,9,203,3631
41,05-22,中通客车,000957,-10,213,3631
55,05-23,中通客车,000957,-104,317,3630
69,05-24,中通客车,000957,14,303,3632
83,05-27,中通客车,000957,-8,311,3635
90,05-28,中通客车,000957,-45,356,3635
104,05-29,中通客车,000957,-41,397,3634
110,05-30,中通客车,000957,-31,428,3635
111,05-31,中通客车,000957,-82,510,3634
125,06-03,中通客车,000957,-41,551,3636
146,06-04,中通客车,000957,-28,579,3636
152,06-05,中通客车,000957,-22,601,3639
153,06-06,中通客车,000957,-12,613,3639
160,06-10,中通客车,000957,34,579,3641
173,06-11,中通客车,000957,-4,583,3641
174,06-12,中通客车,000957,-35,618,3641
187,06-13,中通客车,000957,206,412,3641
188,06-14,中通客车,000957,17,395,3641
195,06-17,中通客车,000957,-98,493,3646
