,date,name,code,diff,ranking,total
0,05-09,广电网络,600831,9,229,3627
1,05-10,广电网络,600831,11,218,3626
2,05-13,广电网络,600831,10,208,3630
3,05-14,广电网络,600831,69,139,3629
4,05-15,广电网络,600831,21,118,3630
5,05-16,广电网络,600831,-13,131,3630
6,05-17,广电网络,600831,5,126,3630
13,05-20,广电网络,600831,4,122,3632
34,05-21,广电网络,600831,-54,176,3631
41,05-22,广电网络,600831,-29,205,3631
55,05-23,广电网络,600831,-11,216,3630
69,05-24,广电网络,600831,-34,250,3632
83,05-27,广电网络,600831,-72,322,3635
90,05-28,广电网络,600831,8,314,3635
104,05-29,广电网络,600831,-27,341,3634
110,05-30,广电网络,600831,-51,392,3635
111,05-31,广电网络,600831,42,350,3634
125,06-03,广电网络,600831,171,179,3636
139,06-04,广电网络,600831,100,79,3636
146,06-05,广电网络,600831,37,42,3639
153,06-06,广电网络,600831,16,26,3639
160,06-10,广电网络,600831,4,22,3641
167,06-11,广电网络,600831,-13,35,3641
174,06-12,广电网络,600831,-4,39,3641
181,06-13,广电网络,600831,-32,71,3641
