,date,name,code,diff,ranking,total
0,05-09,新国都,300130,31,1634,3627
1,05-10,新国都,300130,217,1417,3626
2,05-13,新国都,300130,-118,1535,3630
3,05-14,新国都,300130,-123,1658,3629
4,05-15,新国都,300130,-44,1702,3630
5,05-16,新国都,300130,-198,1900,3630
6,05-17,新国都,300130,-177,2077,3630
13,05-20,新国都,300130,-136,2213,3632
34,05-21,新国都,300130,-83,2296,3631
41,05-22,新国都,300130,533,1763,3631
55,05-23,新国都,300130,130,1633,3630
69,05-24,新国都,300130,15,1618,3632
83,05-27,新国都,300130,-46,1664,3635
90,05-28,新国都,300130,40,1624,3635
104,05-29,新国都,300130,-287,1911,3634
110,05-30,新国都,300130,-42,1953,3635
111,05-31,新国都,300130,-113,2066,3634
125,06-03,新国都,300130,-143,2209,3636
139,06-04,新国都,300130,-57,2266,3636
146,06-05,新国都,300130,-76,2342,3639
153,06-06,新国都,300130,-153,2495,3639
160,06-10,新国都,300130,173,2322,3641
167,06-11,新国都,300130,-44,2366,3641
174,06-12,新国都,300130,-28,2394,3641
181,06-13,新国都,300130,38,2356,3641
188,06-14,新国都,300130,-28,2384,3641
