,date,name,code,diff,ranking,total
0,05-09,浦发银行,600000,-11,383,3627
1,05-10,浦发银行,600000,-74,457,3626
2,05-13,浦发银行,600000,-98,555,3630
3,05-14,浦发银行,600000,-37,592,3629
4,05-15,浦发银行,600000,-41,633,3630
5,05-16,浦发银行,600000,-133,766,3630
6,05-17,浦发银行,600000,-30,796,3630
7,05-09,白云机场,600004,-9,404,3627
8,05-10,白云机场,600004,50,354,3626
9,05-13,白云机场,600004,7,347,3630
10,05-14,白云机场,600004,-63,410,3629
11,05-15,白云机场,600004,-105,515,3630
12,05-16,白云机场,600004,-71,586,3630
13,05-17,白云机场,600004,-139,725,3630
14,05-09,东风汽车,600006,-13,252,3627
15,05-10,东风汽车,600006,-15,267,3626
16,05-13,东风汽车,600006,-27,294,3630
17,05-14,东风汽车,600006,-36,330,3629
18,05-15,东风汽车,600006,-35,365,3630
19,05-16,东风汽车,600006,47,318,3630
20,05-17,东风汽车,600006,2,316,3630
21,05-09,中国国贸,600007,21,3302,3627
22,05-10,中国国贸,600007,-40,3342,3626
23,05-13,中国国贸,600007,-32,3374,3630
24,05-14,中国国贸,600007,110,3264,3629
25,05-15,中国国贸,600007,-62,3326,3630
26,05-16,中国国贸,600007,-70,3396,3630
27,05-17,中国国贸,600007,-30,3426,3630
28,05-09,首创股份,600008,19,724,3627
29,05-10,首创股份,600008,3,721,3626
30,05-13,首创股份,600008,-73,794,3630
31,05-14,首创股份,600008,23,771,3629
32,05-15,首创股份,600008,46,725,3630
33,05-16,首创股份,600008,-47,772,3630
34,05-17,首创股份,600008,-34,806,3630
35,05-09,上海机场,600009,-51,590,3627
36,05-10,上海机场,600009,22,568,3626
37,05-13,上海机场,600009,48,520,3630
38,05-14,上海机场,600009,-60,580,3629
39,05-15,上海机场,600009,5,575,3630
40,05-16,上海机场,600009,104,471,3630
41,05-17,上海机场,600009,-55,526,3630
42,05-09,包钢股份,600010,8,126,3627
43,05-10,包钢股份,600010,0,126,3626
44,05-13,包钢股份,600010,-12,138,3630
45,05-14,包钢股份,600010,-10,148,3629
46,05-15,包钢股份,600010,7,141,3630
47,05-16,包钢股份,600010,93,48,3630
48,05-17,包钢股份,600010,8,40,3630
49,05-09,华能国际,600011,-25,540,3627
50,05-10,华能国际,600011,-25,565,3626
51,05-13,华能国际,600011,-31,596,3630
52,05-14,华能国际,600011,-74,670,3629
53,05-15,华能国际,600011,-60,730,3630
54,05-16,华能国际,600011,-16,746,3630
55,05-17,华能国际,600011,49,697,3630
56,05-09,皖通高速,600012,31,2825,3627
57,05-10,皖通高速,600012,8,2817,3626
58,05-13,皖通高速,600012,-83,2900,3630
59,05-14,皖通高速,600012,11,2889,3629
60,05-15,皖通高速,600012,232,2657,3630
61,05-16,皖通高速,600012,13,2644,3630
62,05-17,皖通高速,600012,-6,2650,3630
63,05-09,华夏银行,600015,-53,1268,3627
64,05-10,华夏银行,600015,-53,1321,3626
65,05-13,华夏银行,600015,-52,1373,3630
66,05-14,华夏银行,600015,-61,1434,3629
67,05-15,华夏银行,600015,17,1417,3630
68,05-16,华夏银行,600015,5,1412,3630
69,05-17,华夏银行,600015,-62,1474,3630
70,05-09,民生银行,600016,-3,410,3627
71,05-10,民生银行,600016,-6,416,3626
72,05-13,民生银行,600016,-49,465,3630
73,05-14,民生银行,600016,22,443,3629
74,05-15,民生银行,600016,3,440,3630
75,05-16,民生银行,600016,-19,459,3630
76,05-17,民生银行,600016,-13,472,3630
77,05-09,日照港,600017,-19,1148,3627
78,05-10,日照港,600017,13,1135,3626
79,05-13,日照港,600017,-141,1276,3630
80,05-14,日照港,600017,-38,1314,3629
81,05-15,日照港,600017,74,1240,3630
82,05-16,日照港,600017,-15,1255,3630
83,05-17,日照港,600017,190,1065,3630
84,05-09,上港集团,600018,-16,342,3627
85,05-10,上港集团,600018,103,239,3626
86,05-13,上港集团,600018,48,191,3630
87,05-14,上港集团,600018,-19,210,3629
88,05-15,上港集团,600018,-6,216,3630
89,05-16,上港集团,600018,-22,238,3630
90,05-17,上港集团,600018,-91,329,3630
91,05-09,宝钢股份,600019,-2,523,3627
92,05-10,宝钢股份,600019,-2,525,3626
93,05-13,宝钢股份,600019,-58,583,3630
94,05-14,宝钢股份,600019,21,562,3629
95,05-15,宝钢股份,600019,-3,565,3630
