,date,name,code,jeton,price,percentage
0,05-21,广和通,300638,17541.3431633943,25.6,0.01594199313364062
1,05-21,广和通,300638,503391.168841622,26.4,0.471790646818395
2,05-21,广和通,300638,583649.893902402,27.2,0.5635872020472075
3,05-21,广和通,300638,1644409.02416968,28.0,1.6345856818815063
4,05-21,广和通,300638,638023.166890805,28.8,0.6523320909521648
5,05-21,广和通,300638,870592.982042839,29.6,0.9148432343303416
6,05-21,广和通,300638,155106.714357294,30.4,0.16739558115797304
7,05-21,广和通,300638,204231.810840506,31.2,0.22621312001086025
8,05-21,广和通,300638,109005.416636287,32.0,0.12383341937946132
9,05-21,广和通,300638,171294.226142736,32.8,0.19946025764334577
10,05-21,广和通,300638,56138.4438619049,33.6,0.06696370199217042
11,05-21,广和通,300638,47215.1319332188,36.0,0.06034253013231537
12,05-21,广和通,300638,124301.061620106,36.8,0.1623911899343118
13,05-21,广和通,300638,25894.9600396049,39.2,0.03603637684304635
14,05-21,广和通,300638,243197.024750055,40.0,0.34534888364994165
15,05-21,广和通,300638,570822.057147083,40.8,0.8268004742621053
16,05-21,广和通,300638,327551.519665027,41.6,0.4837408428052684
17,05-21,广和通,300638,255576.447326745,42.4,0.3847038149991961
18,05-21,广和通,300638,484096.773991019,43.2,0.7424303940396072
19,05-21,广和通,300638,1677810.92314323,44.0,2.620809785261847
20,05-21,广和通,300638,2495612.77911257,44.8,3.969127248804974
21,05-21,广和通,300638,3640958.19998715,45.01,5.8178767099267175
22,05-21,广和通,300638,4127538.12629057,46.4,6.799060125420262
23,05-21,广和通,300638,3807015.38747419,47.2,6.379203233408126
24,05-21,广和通,300638,2911674.90625296,48.0,4.961624902078237
25,05-21,广和通,300638,338153.882004079,48.38,0.5807912290508621
26,05-21,广和通,300638,426044.728332815,49.6,0.750199343999838
27,05-21,广和通,300638,205515.108626165,50.4,0.3677173308219323
28,05-21,广和通,300638,177815.59236001,51.2,0.32320614516830304
29,05-21,广和通,300638,528439.488080366,52.0,0.9755250242656502
30,05-21,广和通,300638,451021.019508777,52.8,0.8454160966406842
31,05-21,广和通,300638,296771.764785701,53.6,0.5647122082010829
32,05-21,广和通,300638,301333.611701722,54.4,0.5819508197500051
33,05-21,广和通,300638,767065.465446329,55.2,1.5031811321778463
34,05-21,广和通,300638,1226046.30351688,56.0,2.437444338478219
35,05-21,广和通,300638,1828424.5391044,56.8,3.6869324827262857
36,05-21,广和通,300638,2105750.92468018,57.6,4.305953059400962
37,05-21,广和通,300638,2871424.33818479,58.4,5.953193952175032
38,05-21,广和通,300638,1979978.17808869,59.2,4.161231890695444
39,05-21,广和通,300638,1478759.63040922,60.0,3.149841089174194
40,05-21,广和通,300638,2281170.51108165,60.8,4.923808295536705
41,05-21,广和通,300638,2598611.87762351,61.6,5.682794336503883
42,05-21,广和通,300638,1637793.55357132,62.4,3.628135971201619
43,05-21,广和通,300638,1178723.67007233,63.2,2.6446541783773028
44,05-21,广和通,300638,1171308.08717228,64.0,2.6612821648181217
45,05-21,广和通,300638,863136.466756355,64.8,1.9856114982159438
46,05-21,广和通,300638,554182.86361675,65.6,1.2906150924948923
47,05-21,广和通,300638,401092.052656673,66.4,0.9454791233372265
48,05-21,广和通,300638,438737.245352071,67.2,1.0466791784571894
49,05-21,广和通,300638,408510.497840626,68.0,0.9861703518248626
50,05-21,广和通,300638,426748.108117874,68.8,1.0423170701626867
51,05-21,广和通,300638,444985.718395121,69.6,1.0994997120865244
52,05-21,广和通,300638,486314.762638269,70.4,1.2154299114962805
53,05-21,广和通,300638,371550.216882926,71.2,0.9391550982133554
54,05-21,广和通,300638,256785.671127583,72.0,0.656361486799584
55,05-21,广和通,300638,142021.125372239,72.8,0.3670490772549638
56,05-21,广和通,300638,27256.5796168959,73.6,0.07121786957949973
