,date,name,code,jeton,price,percentage
0,06-03,TCL集团,000100,828281.715819149,2.35,0.01479596906271517
1,06-03,TCL集团,000100,2069101.67148808,2.38,0.037433140680213334
2,06-03,TCL集团,000100,17277837.1854367,2.41,0.3165219973366092
3,06-03,TCL集团,000100,9624967.75681749,2.44,0.17851988050386247
4,06-03,TCL集团,000100,3645598.92021908,2.47,0.06844840270659643
5,06-03,TCL集团,000100,9282359.91013041,2.5,0.17639890707990083
6,06-03,TCL集团,000100,12111236.8650536,2.53,0.23291984739551636
7,06-03,TCL集团,000100,2812146.29645034,2.56,0.05472368739829626
8,06-03,TCL集团,000100,13933758.3874662,2.67,0.2827984434509974
9,06-03,TCL集团,000100,22679454.4769422,2.7,0.46547230481955565
10,06-03,TCL集团,000100,31209367.1305191,2.73,0.647657034408457
11,06-03,TCL集团,000100,13871726.811287,2.76,0.29102954956004473
12,06-03,TCL集团,000100,7226117.98285338,2.79,0.15325220405939158
13,06-03,TCL集团,000100,9775322.37670978,2.82,0.20954517966751146
14,06-03,TCL集团,000100,10402654.5505203,2.85,0.2253650234182703
15,06-03,TCL集团,000100,9406835.05171916,2.88,0.20593657915515348
16,06-03,TCL集团,000100,3282892.63041421,2.91,0.07261847857772157
17,06-03,TCL集团,000100,3107562.92282514,2.94,0.06944879893528653
18,06-03,TCL集团,000100,4272899.01888457,2.97,0.09646650770475394
19,06-03,TCL集团,000100,2848599.34592305,3.0,0.06496061124899262
20,06-03,TCL集团,000100,2080603.89973834,3.03,0.04792140189892056
21,06-03,TCL集团,000100,1640760.56694202,3.06,0.038164898719165126
22,06-03,TCL集团,000100,2625216.90710722,3.09,0.061662503028611614
23,06-03,TCL集团,000100,3609673.24727243,3.12,0.08560910614651909
24,06-03,TCL集团,000100,15668128.294943,3.15,0.37516744931330176
25,06-03,TCL集团,000100,27540559.5241129,3.18,0.6657288180555545
26,06-03,TCL集团,000100,39718806.8726137,3.21,0.9691671924848674
27,06-03,TCL集团,000100,58577234.7696051,3.24,1.4426844617035337
28,06-03,TCL集团,000100,58583293.3070466,3.26,1.4517400566637013
29,06-03,TCL集团,000100,110255951.754825,3.3,2.765753433557442
30,06-03,TCL集团,000100,127026616.179854,3.33,3.215410610325511
31,06-03,TCL集团,000100,50938006.5668883,3.36,1.3010042050249098
32,06-03,TCL集团,000100,82707636.9526694,3.39,2.1312911851844007
33,06-03,TCL集团,000100,106967008.472014,3.42,2.780823558318241
34,06-03,TCL集团,000100,107280360.872225,3.45,2.813434434482096
35,06-03,TCL集团,000100,124460101.161509,3.48,3.2923566245270495
36,06-03,TCL集团,000100,121989889.742654,3.51,3.2548309202589
37,06-03,TCL集团,000100,81168198.8489773,3.54,2.1841710615189824
38,06-03,TCL集团,000100,35782255.9565383,3.57,0.9710317087365632
39,06-03,TCL集团,000100,27412550.8416217,3.6,0.7501522716198517
40,06-03,TCL集团,000100,33717090.6042605,3.63,0.9303667818970317
41,06-03,TCL集团,000100,28326963.0154358,3.66,0.7880950118982547
42,06-03,TCL集团,000100,62093328.6610136,3.69,1.7416816885093767
43,06-03,TCL集团,000100,96877626.8244229,3.72,2.7394533496621225
44,06-03,TCL集团,000100,95671729.9821269,3.75,2.7271710164253045
45,06-03,TCL集团,000100,114232740.513287,3.78,3.282312098524521
46,06-03,TCL集团,000100,118687094.29638,3.81,3.43736737809259
47,06-03,TCL集团,000100,119079938.312188,3.84,3.475900237389901
48,06-03,TCL集团,000100,113126654.013334,3.87,3.327923886127584
49,06-03,TCL集团,000100,95556366.5003799,3.9,2.832837822955345
50,06-03,TCL集团,000100,78853770.2613408,3.93,2.3556593702312627
51,06-03,TCL集团,000100,98811156.497929,3.96,2.9743950254836315
52,06-03,TCL集团,000100,127012139.273162,3.99,3.852260117238704
53,06-03,TCL集团,000100,153699526.505354,4.02,4.696735037300416
54,06-03,TCL集团,000100,119944879.644697,4.05,3.6926165686403776
55,06-03,TCL集团,000100,145495094.164425,4.08,4.512383378617927
56,06-03,TCL集团,000100,106488055.456421,4.11,3.3269034414406753
57,06-03,TCL集团,000100,88270242.6153363,4.14,2.777871417601156
58,06-03,TCL集团,000100,44079800.8288361,4.17,1.397246905025734
59,06-03,TCL集团,000100,34115558.950989,4.2,1.0891790002060944
60,06-03,TCL集团,000100,37528335.4644574,4.23,1.2066939832478287
61,06-03,TCL集团,000100,39516571.0642023,4.26,1.2796356470929047
62,06-03,TCL集团,000100,41504806.6639473,4.29,1.3534841215082476
63,06-03,TCL集团,000100,43493042.2636923,4.32,1.4282394064938544
64,06-03,TCL集团,000100,45481277.8634373,4.35,1.5039015020497246
65,06-03,TCL集团,000100,47469513.4631823,4.38,1.5804704081758583
66,06-03,TCL集团,000100,36596252.8972595,4.41,1.2267969494256084
