,date,name,code,jeton,price,percentage
0,05-20,中通客车,000957,145150.456700492,7.17,0.0212721352694472
1,05-20,中通客车,000957,552582.604445634,7.23,0.08165993502166347
2,05-20,中通客车,000957,1253968.11729018,7.29,0.1868476097604761
3,05-20,中通客车,000957,2232220.37929346,7.35,0.3353497072482552
4,05-20,中通客车,000957,2441979.7807211,7.41,0.3698569597491799
5,05-20,中通客车,000957,2629722.34192043,7.47,0.40151707753105215
6,05-20,中通客车,000957,2889651.39040776,7.53,0.444747947224251
7,05-20,中通客车,000957,3290441.41815117,7.54,0.5071063312369609
8,05-20,中通客车,000957,3919804.72305209,7.65,0.6129137872300534
9,05-20,中通客车,000957,4254548.27297575,7.71,0.6704730986645193
10,05-20,中通客车,000957,4094989.87179448,7.77,0.6503503442439017
11,05-20,中通客车,000957,4018374.58872777,7.83,0.6431106543426869
12,05-20,中通客车,000957,4359189.23455907,7.89,0.703001496125616
13,05-20,中通客车,000957,4349163.85807369,7.95,0.7067184391167455
14,05-20,中通客车,000957,5077141.85836423,8.01,0.8312379025078583
15,05-20,中通客车,000957,7377638.27972488,8.07,1.216926691165487
16,05-20,中通客车,000957,11329591.9817574,8.13,1.8826879328323047
17,05-20,中通客车,000957,12475903.5594169,8.19,2.0884757380663626
18,05-20,中通客车,000957,9991193.70337119,8.25,1.6847864117641715
19,05-20,中通客车,000957,7742918.5152577,8.31,1.3151619527460767
20,05-20,中通客车,000957,7111756.97238198,8.37,1.2166786547768182
21,05-20,中通客车,000957,6276764.17814743,8.43,1.0815258660172034
22,05-20,中通客车,000957,5468156.52695317,8.49,0.948903725627972
23,05-20,中通客车,000957,5653930.46677158,8.55,0.9880754335143614
24,05-20,中通客车,000957,6726668.57053657,8.61,1.1837955559436366
25,05-20,中通客车,000957,8000620.8637943,8.67,1.4178043731734686
26,05-20,中通客车,000957,8936862.25696086,8.73,1.5946773716331675
27,05-20,中通客车,000957,8663946.65030433,8.79,1.5566040933685121
28,05-20,中通客车,000957,8696815.83868326,8.85,1.5731751153753426
29,05-20,中通客车,000957,8565158.95241066,8.91,1.5598637113574199
30,05-20,中通客车,000957,8455437.39637678,8.97,1.5502510891851518
31,05-20,中通客车,000957,5812548.72416663,9.03,1.0728225177197932
32,05-20,中通客车,000957,3762159.55011576,9.09,0.6989958810685275
33,05-20,中通客车,000957,3097314.54066524,9.12,0.5773692809246748
34,05-20,中通客车,000957,3024681.49457945,9.21,0.5693938908113755
35,05-20,中通客车,000957,3024288.63491306,9.27,0.5730288599508473
36,05-20,中通客车,000957,2527951.08969677,9.33,0.4820852395650693
37,05-20,中通客车,000957,2040743.49209039,9.39,0.39167651882648785
38,05-20,中通客车,000957,1578848.65645312,9.45,0.30496207509544304
39,05-20,中通客车,000957,1256511.29842984,9.51,0.24424205126720042
40,05-20,中通客车,000957,1181995.93043709,9.57,0.2312072471139528
41,05-20,中通客车,000957,1303220.37170182,9.63,0.25651789711746914
42,05-20,中通客车,000957,1550955.81807843,9.69,0.30718268140919947
43,05-20,中通客车,000957,2434422.72483495,9.75,0.48514787428892653
44,05-20,中通客车,000957,3090324.04526515,9.81,0.619650140012935
45,05-20,中通客车,000957,3782919.4364844,9.87,0.7631638122013841
46,05-20,中通客车,000957,3763621.99530508,9.93,0.7638863861415935
47,05-20,中通客车,000957,3744324.55412577,9.99,0.764561628121068
48,05-20,中通客车,000957,3725027.11294645,10.05,0.7651895381398035
49,05-20,中通客车,000957,3647876.36301616,10.11,0.7538150253280648
50,05-20,中通客车,000957,3674061.47037234,10.17,0.7637318366154097
51,05-20,中通客车,000957,3865495.46061687,10.23,0.8082660271601568
52,05-20,中通客车,000957,4040450.19229551,10.29,0.8498037749269444
53,05-20,中通客车,000957,4033676.78251993,10.35,0.8533259813568098
54,05-20,中通客车,000957,3551594.05416115,10.41,0.7556967830709295
55,05-20,中通客车,000957,3069511.32580236,10.47,0.6568851523289188
56,05-20,中通客车,000957,2587428.59744359,10.53,0.5568910891307842
57,05-20,中通客车,000957,2272822.04316428,10.59,0.49196580412477536
58,05-20,中通客车,000957,2180097.51726578,10.65,0.47456865707672025
59,05-20,中通客车,000957,2215506.76284361,10.71,0.4849936747428931
60,05-20,中通客车,000957,2026001.76414638,10.77,0.4459940308593764
61,05-20,中通客车,000957,1836496.76544913,10.83,0.4065295770005614
62,05-20,中通客车,000957,1646991.76675189,10.89,0.36660031316645453
63,05-20,中通客车,000957,1457486.76805465,10.95,0.32620623935705356
64,05-20,中通客车,000957,1267981.7693574,11.01,0.28534735557235646
65,05-20,中通客车,000957,1078476.77066016,11.07,0.24402366181236748
66,05-20,中通客车,000957,888971.771962917,11.13,0.20223515807708375
67,05-20,中通客车,000957,699466.773265678,11.19,0.15998184436650692
68,05-20,中通客车,000957,509961.774568434,11.25,0.11726372068063498
69,05-20,中通客车,000957,320456.77587119,11.31,0.07408078701946899
70,05-20,中通客车,000957,130951.777173951,11.37,0.03043304338301011
71,05-20,中通客车,000957,13556.6888549732,11.43,0.0031671846404852707
144,05-20,中通客车,000957,272964.354888898,7.2,0.040170936679541795
145,05-20,中通客车,000957,766201.194941694,7.26,0.11369803771316246
146,05-20,中通客车,000957,1619916.00965225,7.32,0.24236901750172785
147,05-20,中通客车,000957,2304766.16681413,7.38,0.34766162483219687
148,05-20,中通客车,000957,2384411.88812809,7.44,0.3625999481950326
149,05-20,中通客车,000957,2596570.26689813,7.5,0.39804746903217697
150,05-20,中通客车,000957,2891928.22660401,7.56,0.44687167672853134
151,05-20,中通客车,000957,3295949.09340101,7.62,0.5133445910533719
152,05-20,中通客车,000957,4075484.60264425,7.68,0.6397554590712006
153,05-20,中通客车,000957,3925454.91263983,7.74,0.6210184141372638
154,05-20,中通客车,000957,3775425.22263542,7.8,0.6019133826225856
155,05-20,中通客车,000957,3893786.30366705,7.86,0.6255588648703565
156,05-20,中通客车,000957,4028582.85455877,7.92,0.6521552658664926
157,05-20,中通客车,000957,4252312.20614717,7.98,0.6935879799853021
158,05-20,中通客车,000957,5203435.55053938,7.99,0.8497877823308752
159,05-20,中通客车,000957,8624541.26563118,8.1,1.4278893259318692
160,05-20,中通客车,000957,12577617.4190442,8.16,2.097790251315605
161,05-20,中通客车,000957,10910803.0006967,8.22,1.8331671058906898
162,05-20,中通客车,000957,8318950.94538143,8.28,1.4079019935537822
163,05-20,中通客车,000957,7543975.37463865,8.34,1.2859966475655473
164,05-20,中通客车,000957,7180875.54381601,8.4,1.2329066910842583
165,05-20,中通客车,000957,6730744.60757267,8.46,1.1638767661358123
166,05-20,中通客车,000957,6619403.4284829,8.52,1.1527416075016605
167,05-20,中通客车,000957,7478661.479318,8.58,1.3115495022040449
168,05-20,中通客车,000957,9039330.09318748,8.64,1.596333075562371
169,05-20,中通客车,000957,10343350.1302254,8.7,1.8393060630934224
170,05-20,中通客车,000957,10558573.2908127,8.76,1.8905269326151133
171,05-20,中通客车,000957,9982650.57880765,8.82,1.7996497013745794
172,05-20,中通客车,000957,9448837.62230889,8.88,1.7150029650201994
173,05-20,中通客车,000957,8871457.08424629,8.94,1.621085788496869
174,05-20,中通客车,000957,7075586.24686349,9.0,1.3016027642559713
175,05-20,中通客车,000957,4392831.8188148,9.06,0.8134789096457256
176,05-20,中通客车,000957,2790765.4664717,9.12,0.5202255791108982
177,05-20,中通客车,000957,2860023.11541633,9.18,0.536643345193099
178,05-20,中通客车,000957,2843865.02576801,9.24,0.5370991625126119
179,05-20,中通客车,000957,2608185.83335835,9.3,0.4957868504008814
180,05-20,中通客车,000957,2147927.7391721,9.36,0.41093112691920236
181,05-20,中通客车,000957,1689815.82343762,9.42,0.3253597300262776
182,05-20,中通客车,000957,1291206.66348507,9.48,0.2501944200781368
183,05-20,中通客车,000957,1146440.67912416,9.54,0.22354938845171654
184,05-20,中通客车,000957,1122941.63348065,9.6,0.2203443609415984
