,cur_date,stock_code,stock_name,cost_avg,close_price,distribution_desc,max_price,min_price,profit_rate,ylw,zcw,cost70_jgqj_down,cost70_jgqj_up,cost70_jzd,cost90_jgqj_down,cost90_jgqj_up,cost90_jzd,popularity,total_stock,popularity_desc,new_rate,old_rate,old_avg_rate
0,05-17,000063,中兴通讯,30.08,28.50,该股近120天的平均成本30.08元，盈利比例17.23%，筹码状态相对密集。,38.4,18.56,17.23%,31,28.18,28.48,34.24,9.18%,21.92,36.00,24.31%,13,3630,个股近期人气趋势图，目前市场人气排名为13/3630，用户高度关注。,49,51,49
1,05-20,000063,中兴通讯,30.08,27.90,该股近120天的平均成本30.08元，盈利比例12.59%，筹码状态相对密集。,38.4,18.56,12.59%,31,28.18,28.16,34.24,9.74%,22.72,36.00,22.62%,7,3632,个股近期人气趋势图，目前市场人气排名为7/3632，用户高度关注。,49,51,49
3,05-20,000063,中兴通讯,29.92,29.20,该股近120天的平均成本29.92元，盈利比例33.35%，筹码状态相对密集。,38.24,18.4,33.35%,31,26.5,28.16,34.24,9.74%,22.88,36.00,22.28%,7,3632,个股近期人气趋势图，目前市场人气排名为7/3632，用户高度关注。,49,51,49
4,05-21,000063,中兴通讯,29.92,29.20,该股近120天的平均成本29.92元，盈利比例33.35%，筹码状态相对密集。,38.24,18.4,33.35%,31,26.5,28.16,34.24,9.74%,22.88,36.00,22.28%,6,3631,个股近期人气趋势图，目前市场人气排名为6/3631，用户高度关注。,48,52,48
5,05-22,000063,中兴通讯,29.92,29.48,该股近120天的平均成本29.92元，盈利比例39.77%，筹码状态相对密集。,38.24,18.4,39.77%,31,26.5,28.32,34.08,9.23%,23.52,35.84,20.75%,9,3631,个股近期人气趋势图，目前市场人气排名为9/3631，用户高度关注。,47,53,47
7,05-23,000063,中兴通讯,29.92,28.24,该股近120天的平均成本29.92元，盈利比例14.13%，筹码状态相对密集。,38.24,18.4,14.13%,30.55,26.5,28.32,34.08,9.23%,23.68,35.84,20.43%,10,3630,个股近期人气趋势图，目前市场人气排名为10/3630，用户高度关注。,48,52,48
9,05-24,000063,中兴通讯,29.92,28.25,该股近120天的平均成本29.92元，盈利比例14.71%，筹码状态相对密集。,38.24,18.4,14.71%,30.55,26.5,28.32,34.08,9.23%,23.84,35.84,20.11%,13,3632,个股近期人气趋势图，目前市场人气排名为13/3632，用户高度关注。,48,52,48
11,05-27,000063,中兴通讯,29.76,29.29,该股近120天的平均成本29.76元，盈利比例39.61%，筹码状态相对密集。,38.4,18.56,39.61%,30.55,26.5,28.32,34.08,9.23%,24.00,35.84,19.79%,12,3635,个股近期人气趋势图，目前市场人气排名为12/3635，用户高度关注。,48,52,48
12,05-28,000063,中兴通讯,29.76,29.30,该股近120天的平均成本29.76元，盈利比例40.20%，筹码状态相对密集。,38.4,18.56,40.20%,30.55,26.5,28.32,33.92,9.00%,24.32,35.84,19.15%,16,3635,个股近期人气趋势图，目前市场人气排名为16/3635，用户高度关注。,49,51,49
13,05-28,000063,中兴通讯,29.76,29.16,该股近120天的平均成本29.76元，盈利比例35.97%，筹码状态相对密集。,38.4,18.56,35.97%,30.55,26.5,28.32,33.92,9.00%,24.64,35.68,18.30%,16,3635,个股近期人气趋势图，目前市场人气排名为16/3635，用户高度关注。,49,51,49
14,05-29,000063,中兴通讯,29.76,28.38,该股近120天的平均成本29.76元，盈利比例17.27%，筹码状态相对密集。,38.4,18.56,17.27%,30.55,26.5,28.32,33.92,9.00%,25.12,35.68,17.37%,20,3634,个股近期人气趋势图，目前市场人气排名为20/3634，用户高度关注。,49,51,49
15,05-31,000063,中兴通讯,29.6,28.76,该股近120天的平均成本29.6元，盈利比例25.31%，筹码状态相对密集。,38.24,18.4,25.31%,30.55,26.5,28.32,33.92,9.00%,25.60,35.68,16.45%,17,3634,个股近期人气趋势图，目前市场人气排名为17/3634，用户高度关注。,49,51,49
17,06-03,000063,中兴通讯,29.7,30.29,该股近120天的平均成本29.7元，盈利比例63.61%，筹码状态相对密集。,38.4,19.8,63.61%,31,26.5,28.35,33.75,8.70%,26.55,35.55,14.49%,7,3636,个股近期人气趋势图，目前市场人气排名为7/3636，用户高度关注。,47,53,47
19,06-03,000063,中兴通讯,29.85,30.50,该股近120天的平均成本29.85元，盈利比例68.35%，筹码状态相对密集。,38.25,19.95,68.35%,31,26.5,28.35,33.60,8.47%,26.85,35.55,13.94%,7,3636,个股近期人气趋势图，目前市场人气排名为7/3636，用户高度关注。,47,53,47
20,06-04,000063,中兴通讯,29.85,32.09,该股近120天的平均成本29.85元，盈利比例82.14%，筹码状态相对密集。,38.25,19.95,82.14%,31,26.5,28.35,33.45,8.25%,27.15,35.40,13.19%,4,3636,个股近期人气趋势图，目前市场人气排名为4/3636，用户高度关注。,47,53,47
21,06-06,000063,中兴通讯,30,29.78,该股近120天的平均成本30元，盈利比例45.27%，筹码状态相对密集。,38.4,19.8,45.27%,32.3,26.5,28.50,33.30,7.77%,27.30,35.25,12.71%,2,3639,个股近期人气趋势图，目前市场人气排名为2/3639，用户高度关注。,46,54,46
