,cur_date,stock_code,stock_name,cost_avg,close_price,distribution_desc,max_price,min_price,profit_rate,ylw,zcw,cost70_jgqj_down,cost70_jgqj_up,cost70_jzd,cost90_jgqj_down,cost90_jgqj_up,cost90_jzd,popularity,total_stock,popularity_desc,new_rate,old_rate,old_avg_rate
0,05-17,600213,亚星客车,12.24,11.36,该股近120天的平均成本12.24元，盈利比例18.57%，筹码状态相对密集。,15,7.68,18.57%,13.6,11.84,11.10,12.90,7.50%,10.32,13.38,12.91%,194,3630,个股近期人气趋势图，目前市场人气排名为194/3630，用户高度关注。,47,53,47
1,05-20,600213,亚星客车,12.18,10.42,该股近120天的平均成本12.18元，盈利比例8.59%，筹码状态相对密集。,14.94,7.86,8.59%,13.6,11.84,10.62,12.78,9.23%,10.32,13.32,12.69%,241,3632,个股近期人气趋势图，目前市场人气排名为241/3632，用户高度关注。,46,54,46
4,05-20,600213,亚星客车,12.06,10.63,该股近120天的平均成本12.06元，盈利比例21.36%，筹码状态相对密集。,14.94,7.86,21.36%,13.6,10.22,10.56,12.72,9.28%,10.32,13.32,12.69%,241,3632,个股近期人气趋势图，目前市场人气排名为241/3632，用户高度关注。,46,54,46
5,05-21,600213,亚星客车,12.06,10.63,该股近120天的平均成本12.06元，盈利比例21.36%，筹码状态相对密集。,14.94,7.86,21.36%,13.6,10.22,10.56,12.72,9.28%,10.32,13.32,12.69%,275,3631,个股近期人气趋势图，目前市场人气排名为275/3631，用户高度关注。,46,54,46
6,05-22,600213,亚星客车,11.88,10.36,该股近120天的平均成本11.88元，盈利比例5.93%，筹码状态相对密集。,15,7.92,5.93%,13.6,11.84,10.50,12.72,9.56%,10.32,13.26,12.47%,341,3631,个股近期人气趋势图，目前市场人气排名为341/3631，用户高度关注。,46,54,46
8,05-23,600213,亚星客车,11.7,10.07,该股近120天的平均成本11.7元，盈利比例2.65%，筹码状态相对密集。,14.94,7.92,2.65%,13.6,11.84,10.38,12.66,9.90%,10.14,13.20,13.11%,439,3630,个股近期人气趋势图，目前市场人气排名为439/3630，用户高度关注。,47,53,47
10,05-24,600213,亚星客车,10.92,11.08,该股近120天的平均成本10.92元，盈利比例52.60%，筹码状态相对密集。,15,7.86,52.60%,13.6,9.88,10.38,12.60,9.66%,10.14,13.14,12.89%,243,3632,个股近期人气趋势图，目前市场人气排名为243/3632，用户高度关注。,46,54,46
12,05-27,600213,亚星客车,10.9,11.25,该股近120天的平均成本10.9元，盈利比例60.59%，筹码状态相对密集。,15,7.9,60.59%,13.6,9.88,10.40,12.50,9.17%,10.15,13.05,12.50%,204,3635,个股近期人气趋势图，目前市场人气排名为204/3635，用户高度关注。,48,52,48
13,05-28,600213,亚星客车,11,10.89,该股近120天的平均成本11元，盈利比例43.43%，筹码状态相对密集。,15,7.9,43.43%,11.45,9.88,10.45,12.45,8.73%,10.15,13.00,12.31%,226,3635,个股近期人气趋势图，目前市场人气排名为226/3635，用户高度关注。,48,52,48
15,05-29,600213,亚星客车,11,10.94,该股近120天的平均成本11元，盈利比例44.59%，筹码状态相对密集。,15,7.9,44.59%,11.45,9.88,10.50,12.35,8.10%,10.25,12.90,11.45%,234,3634,个股近期人气趋势图，目前市场人气排名为234/3634，用户高度关注。,48,52,48
16,05-31,600213,亚星客车,10.95,10.53,该股近120天的平均成本10.95元，盈利比例20.73%，筹码状态相对密集。,14.95,7.95,20.73%,11.45,9.88,10.45,12.25,7.93%,10.25,12.80,11.06%,299,3634,个股近期人气趋势图，目前市场人气排名为299/3634，用户高度关注。,49,51,49
18,06-03,600213,亚星客车,10.9,10.20,该股近120天的平均成本10.9元，盈利比例3.44%，筹码状态相对密集。,15,8.4,3.44%,11.45,9.88,10.40,12.25,8.17%,10.25,12.80,11.06%,484,3636,个股近期人气趋势图，目前市场人气排名为484/3636，用户高度关注。,49,51,49
20,06-04,600213,亚星客车,10.85,10.30,该股近120天的平均成本10.85元，盈利比例11.90%，筹码状态相对密集。,14.95,8.85,11.90%,11.45,10.1,10.35,12.20,8.20%,10.20,12.75,11.11%,523,3636,个股近期人气趋势图，目前市场人气排名为523/3636，用户高度关注。,49,51,49
21,06-05,600213,亚星客车,10.8,10.07,该股近120天的平均成本10.8元，盈利比例1.19%，筹码状态相对密集。,14.96,9.16,1.19%,11.45,9.88,10.32,12.16,8.19%,10.16,12.76,11.34%,594,3639,个股近期人气趋势图，目前市场人气排名为594/3639，用户高度关注。,49,51,49
22,06-06,600213,亚星客车,10.72,9.46,该股近120天的平均成本10.72元，盈利比例0.95%，筹码状态相对密集。,14.96,9.28,0.95%,11.45,9.88,10.24,12.08,8.24%,9.76,12.72,13.17%,660,3639,个股近期人气趋势图，目前市场人气排名为660/3639，用户高度关注。,49,51,49
