,cur_date,stock_code,stock_name,cost_avg,close_price,distribution_desc,max_price,min_price,profit_rate,ylw,zcw,cost70_jgqj_down,cost70_jgqj_up,cost70_jzd,cost90_jgqj_down,cost90_jgqj_up,cost90_jzd,popularity,total_stock,popularity_desc,new_rate,old_rate,old_avg_rate
0,05-17,600831,广电网络,10.92,10.20,该股近120天的平均成本10.92元，盈利比例21.74%，筹码状态相对发散。,14.04,8.92,21.74%,11.57,9.02,9.80,12.12,10.58%,9.40,13.12,16.52%,126,3630,个股近期人气趋势图，目前市场人气排名为126/3630，用户高度关注。,47,53,47
1,05-20,600831,广电网络,10.88,10.68,该股近120天的平均成本10.88元，盈利比例41.08%，筹码状态相对密集。,14.08,8.96,41.08%,11.57,9.85,9.88,12.04,9.85%,9.44,13.08,16.16%,122,3632,个股近期人气趋势图，目前市场人气排名为122/3632，用户高度关注。,46,54,46
3,05-20,600831,广电网络,10.8,10.60,该股近120天的平均成本10.8元，盈利比例38.54%，筹码状态相对密集。,14.08,8.96,38.54%,11.57,9.85,9.96,11.96,9.12%,9.44,13.00,15.86%,122,3632,个股近期人气趋势图，目前市场人气排名为122/3632，用户高度关注。,46,54,46
4,05-21,600831,广电网络,10.8,10.60,该股近120天的平均成本10.8元，盈利比例38.54%，筹码状态相对密集。,14.08,8.96,38.54%,11.57,9.85,9.96,11.96,9.12%,9.44,13.00,15.86%,176,3631,个股近期人气趋势图，目前市场人气排名为176/3631，用户高度关注。,47,53,47
5,05-22,600831,广电网络,10.8,10.70,该股近120天的平均成本10.8元，盈利比例42.32%，筹码状态相对密集。,14.08,8.96,42.32%,11.57,9.85,10.00,11.92,8.76%,9.44,12.96,15.71%,205,3631,个股近期人气趋势图，目前市场人气排名为205/3631，用户高度关注。,47,53,47
7,05-23,600831,广电网络,10.76,9.96,该股近120天的平均成本10.76元，盈利比例15.53%，筹码状态相对密集。,14.04,8.92,15.53%,11.57,9.02,9.96,11.84,8.62%,9.44,12.88,15.41%,216,3630,个股近期人气趋势图，目前市场人气排名为216/3630，用户高度关注。,47,53,47
9,05-24,600831,广电网络,10.72,9.80,该股近120天的平均成本10.72元，盈利比例11.54%，筹码状态相对密集。,14.08,8.96,11.54%,11.57,9.02,9.92,11.80,8.66%,9.48,12.84,15.05%,250,3632,个股近期人气趋势图，目前市场人气排名为250/3632，用户高度关注。,47,53,47
11,05-27,600831,广电网络,10.68,10.22,该股近120天的平均成本10.68元，盈利比例29.50%，筹码状态相对密集。,14.04,8.92,29.50%,11.57,9.76,9.92,11.72,8.32%,9.48,12.84,15.05%,322,3635,个股近期人气趋势图，目前市场人气排名为322/3635，用户高度关注。,47,53,47
12,05-28,600831,广电网络,10.64,10.41,该股近120天的平均成本10.64元，盈利比例36.70%，筹码状态相对密集。,14.08,8.96,36.70%,11.57,9.76,9.96,11.64,7.78%,9.48,12.76,14.75%,314,3635,个股近期人气趋势图，目前市场人气排名为314/3635，用户高度关注。,47,53,47
13,05-28,600831,广电网络,10.6,10.26,该股近120天的平均成本10.6元，盈利比例29.54%，筹码状态相对密集。,14.04,8.92,29.54%,10.8,9.76,9.96,11.48,7.09%,9.48,12.76,14.75%,314,3635,个股近期人气趋势图，目前市场人气排名为314/3635，用户高度关注。,47,53,47
14,05-29,600831,广电网络,10.56,10.01,该股近120天的平均成本10.56元，盈利比例18.26%，筹码状态相对密集。,14.08,8.96,18.26%,10.8,9.76,9.96,11.44,6.92%,9.52,12.72,14.39%,341,3634,个股近期人气趋势图，目前市场人气排名为341/3634，用户高度关注。,47,53,47
15,05-31,600831,广电网络,10.52,10.32,该股近120天的平均成本10.52元，盈利比例40.28%，筹码状态相对密集。,14.04,8.92,40.28%,10.8,9.76,10.00,11.36,6.37%,9.52,12.68,14.23%,350,3634,个股近期人气趋势图，目前市场人气排名为350/3634，用户高度关注。,47,53,47
17,06-03,600831,广电网络,10.52,11.35,该股近120天的平均成本10.52元，盈利比例86.08%，筹码状态相对密集。,14.04,8.92,86.08%,11.57,9.76,10.00,11.28,6.02%,9.56,12.60,13.72%,179,3636,个股近期人气趋势图，目前市场人气排名为179/3636，用户高度关注。,45,55,45
19,06-04,600831,广电网络,10.72,11.68,该股近120天的平均成本10.72元，盈利比例73.03%，筹码状态相对密集。,14.08,8.96,73.03%,11.57,9.76,10.04,12.08,9.22%,9.64,12.40,12.52%,79,3636,个股近期人气趋势图，目前市场人气排名为79/3636，用户高度关注。,46,54,46
20,06-05,600831,广电网络,11,12.85,该股近120天的平均成本11元，盈利比例97.67%，筹码状态相对密集。,14.04,8.92,97.67%,11.57,9.76,10.12,12.24,9.48%,9.76,12.56,12.54%,42,3639,个股近期人气趋势图，目前市场人气排名为42/3639，用户高度关注。,45,55,45
21,06-06,600831,广电网络,11.64,11.57,该股近120天的平均成本11.64元，盈利比例47.66%，筹码状态相对密集。,14.04,8.92,47.66%,12.85,9.76,10.20,12.16,8.77%,9.88,12.48,11.63%,26,3639,个股近期人气趋势图，目前市场人气排名为26/3639，用户高度关注。,45,55,45
22,06-10,600831,广电网络,11.36,11.19,该股近120天的平均成本11.36元，盈利比例44.36%，筹码状态相对密集。,14.08,8.96,44.36%,12.85,9.76,10.24,12.12,8.41%,9.92,12.44,11.27%,22,3641,个股近期人气趋势图，目前市场人气排名为22/3641，用户高度关注。,45,55,45
23,06-11,600831,广电网络,11.2,11.47,该股近120天的平均成本11.2元，盈利比例58.05%，筹码状态相对密集。,14.08,8.96,58.05%,12.85,10.8,10.28,12.08,8.05%,9.92,12.40,11.11%,35,3641,个股近期人气趋势图，目前市场人气排名为35/3641，用户高度关注。,45,55,45
24,06-12,600831,广电网络,11.48,11.81,该股近120天的平均成本11.48元，盈利比例64.92%，筹码状态相对密集。,14.04,8.92,64.92%,12.85,10.8,10.40,12.12,7.64%,10.00,12.40,10.71%,39,3641,个股近期人气趋势图，目前市场人气排名为39/3641，用户高度关注。,45,55,45
