,date,name,code,jeton,price,percentage
0,06-06,中兴通讯,000063,4492049.92201011,19.8,0.1609909302531405
1,06-06,中兴通讯,000063,5209365.11376964,20.1,0.18952761618611003
2,06-06,中兴通讯,000063,9323076.10678736,20.4,0.3442556228096233
3,06-06,中兴通讯,000063,6405953.18424424,20.7,0.2400190715160313
4,06-06,中兴通讯,000063,2331638.55771356,21.0,0.08862824891526164
5,06-06,中兴通讯,000063,504384.559144173,21.3,0.019446123154992837
6,06-06,中兴通讯,000063,936714.181267748,21.6,0.03662287982509711
7,06-06,中兴通讯,000063,1369043.80339132,21.9,0.054269160595522996
8,06-06,中兴通讯,000063,1801373.4255149,22.2,0.07238496546627098
9,06-06,中兴通讯,000063,1648476.36403217,22.5,0.06713622044234882
10,06-06,中兴通讯,000063,5525142.8756583,22.8,0.22801845858677347
11,06-06,中兴通讯,000063,2577158.0669973,23.1,0.10775679896448953
12,06-06,中兴通讯,000063,2142219.76488522,23.4,0.0907343066419747
13,06-06,中兴通讯,000063,6101253.582954,23.7,0.26173335201820946
14,06-06,中兴通讯,000063,4088185.94941232,24.0,0.17759614253748313
15,06-06,中兴通讯,000063,2469843.40233584,24.3,0.10863439180204648
16,06-06,中兴通讯,000063,1971560.40156643,24.6,0.08778834049901446
17,06-06,中兴通讯,000063,1535748.62222401,24.9,0.06921673778695164
18,06-06,中兴通讯,000063,1544524.32863672,25.2,0.07045096395471906
19,06-06,中兴通讯,000063,1359808.62069218,25.5,0.06276385581544816
20,06-06,中兴通讯,000063,1332771.71265794,25.8,0.062239646588613806
21,06-06,中兴通讯,000063,1305734.80462371,26.1,0.061686074395953285
22,06-06,中兴通讯,000063,2704144.83951085,26.4,0.1292187459505565
23,06-06,中兴通讯,000063,7521128.266882,26.5,0.3607617747291725
24,06-06,中兴通讯,000063,10120150.3801208,27.0,0.4945866340486405
25,06-06,中兴通讯,000063,13575590.1609725,27.3,0.6708308258032653
26,06-06,中兴通讯,000063,17429995.6010657,27.6,0.8707590664229646
27,06-06,中兴通讯,000063,28235322.8555452,27.9,1.425898482413841
28,06-06,中兴通讯,000063,88402237.977497,28.2,4.512362833941199
29,06-06,中兴通讯,000063,113333351.293656,28.5,5.84647688078423
30,06-06,中兴通讯,000063,120096117.632674,28.8,6.260558836377797
31,06-06,中兴通讯,000063,127388539.44909,29.1,6.709883700528508
32,06-06,中兴通讯,000063,130417624.4235,29.4,6.94025233840221
33,06-06,中兴通讯,000063,136355185.528914,29.7,7.3302663185841235
34,06-06,中兴通讯,000063,142305289.401977,30.0,7.727409776977087
35,06-06,中兴通讯,000063,143802805.261504,30.3,7.886814608819669
36,06-06,中兴通讯,000063,116088994.918804,30.6,6.429898585407029
37,06-06,中兴通讯,000063,83034530.655342,30.9,4.644178035198147
38,06-06,中兴通讯,000063,63018955.8071706,31.2,3.558913580634268
39,06-06,中兴通讯,000063,55400129.4834576,31.5,3.158733447056504
40,06-06,中兴通讯,000063,41464119.1787139,31.8,2.386663600198818
41,06-06,中兴通讯,000063,22386745.304783,32.1,1.3007314354845467
42,06-06,中兴通讯,000063,7575129.01316345,32.3,0.44287809625976615
43,06-06,中兴通讯,000063,4469096.66062778,32.7,0.26452038500074876
44,06-06,中兴通讯,000063,3056884.30489389,33.0,0.1825931948165263
45,06-06,中兴通讯,000063,13083482.6292492,33.3,0.7886044821823032
46,06-06,中兴通讯,000063,26113848.6047093,33.6,1.5881876144942082
47,06-06,中兴通讯,000063,32050493.1786783,33.9,1.9666453986841712
48,06-06,中兴通讯,000063,36734723.901639,34.2,2.2740213174119335
49,06-06,中兴通讯,000063,32941427.1177611,34.5,2.0570893260830765
50,06-06,中兴通讯,000063,27563221.9827813,34.8,1.7362044786850976
51,06-06,中兴通讯,000063,19043527.3523965,35.1,1.2098907488348358
52,06-06,中兴通讯,000063,12976889.6127922,35.4,0.8315062498819152
53,06-06,中兴通讯,000063,11180933.7133551,35.7,0.7225001379634172
54,06-06,中兴通讯,000063,14442922.1651727,36.0,0.9411291323010296
55,06-06,中兴通讯,000063,12909242.0704153,36.3,0.8482014590397605
56,06-06,中兴通讯,000063,11375561.9756579,36.6,0.7536081590672444
57,06-06,中兴通讯,000063,9841881.8809005,36.9,0.6573492323834812
58,06-06,中兴通讯,000063,7805051.64453064,37.2,0.5255455540346197
59,06-06,中兴通讯,000063,6003885.88040819,37.5,0.40752601894744106
60,06-06,中兴通讯,000063,4202720.11628575,37.8,0.2875503589693156
61,06-06,中兴通讯,000063,2401554.35216327,38.1,0.16561857410023967
62,06-06,中兴通讯,000063,600388.588040828,38.4,0.0417306643402186
