,date,name,code,jeton,price,percentage
0,06-03,中通客车,000957,95010.8518545823,7.17,0.028557110450479647
1,06-03,中通客车,000957,361702.919590093,7.23,0.10962565601686464
2,06-03,中通客车,000957,820807.469232184,7.29,0.2508364939274235
3,06-03,中通客车,000957,1416239.41597917,7.35,0.43636098157161535
4,06-03,中通客车,000957,1486190.12119311,7.41,0.46165173473622734
5,06-03,中通客车,000957,1541729.30616255,7.47,0.48278150395410485
6,06-03,中通客车,000957,1696476.02074362,7.53,0.5355063132695691
7,06-03,中通客车,000957,2522104.10772987,7.59,0.8024660708719593
8,06-03,中通客车,000957,3497348.95974456,7.65,1.1215594435350604
9,06-03,中通客车,000957,4279745.13232768,7.71,1.383229295657115
10,06-03,中通客车,000957,4317209.66768501,7.77,1.4061966318989472
11,06-03,中通客车,000957,3987588.74695922,7.83,1.3088624773256572
12,06-03,中通客车,000957,3906829.43909838,7.89,1.2921809925757024
13,06-03,中通客车,000957,4081976.26974704,7.95,1.3603776806588148
14,06-03,中通客车,000957,5672028.86234005,8.01,1.90455203134364
15,06-03,中通客车,000957,8368503.10884209,8.06,2.8275136961278178
16,06-03,中通客车,000957,10671952.09616,8.13,3.637108914835121
17,06-03,中通客车,000957,11846823.4891433,8.19,4.067314108620956
18,06-03,中通客车,000957,11891746.6646004,8.25,4.112647534746363
19,06-03,中通客车,000957,13292786.4592551,8.31,4.63061789291442
20,06-03,中通客车,000957,14182953.5160043,8.37,4.976385674054825
21,06-03,中通客车,000957,12564883.2909559,8.43,4.440255156422662
22,06-03,中通客车,000957,10995721.9033949,8.49,3.913391805942402
23,06-03,中通客车,000957,11402934.0993105,8.55,4.086999859803239
24,06-03,中通客车,000957,12065746.6948302,8.61,4.354910647402828
25,06-03,中通客车,000957,11681026.9112197,8.67,4.24543323691635
26,06-03,中通客车,000957,11075252.3612128,8.73,4.053122857839511
27,06-03,中通客车,000957,9207448.65308908,8.75,3.37729698495589
28,06-03,中通客车,000957,8109925.64812479,8.85,3.0087218291388313
29,06-03,中通客车,000957,6993541.06033454,8.91,2.612141666747381
30,06-03,中通客车,000957,6061257.20673737,8.97,2.2791717340028184
31,06-03,中通客车,000957,3737250.28592466,9.03,1.4146917724308483
32,06-03,中通客车,000957,2287560.53649599,9.09,0.8716825913891215
33,06-03,中通客车,000957,1854843.0974742,9.15,0.7114594723803911
34,06-03,中通客车,000957,1840347.55681337,9.21,0.7105282876864046
35,06-03,中通客车,000957,1869816.64320419,9.27,0.7266087926272121
36,06-03,中通客车,000957,1571668.09629418,9.33,0.6147016442532091
37,06-03,中通客车,000957,1273519.54938416,9.39,0.5012946872887768
38,06-03,中通客车,000957,991939.927795813,9.45,0.39295161145215574
39,06-03,中通客车,000957,801710.172630152,9.51,0.319609592097634
40,06-03,中通客车,000957,773696.775003648,9.57,0.3103877823806289
41,06-03,中通客车,000957,853046.421515084,9.63,0.34436646005300997
42,06-03,中通客车,000957,1015206.13034318,9.69,0.41238219155537326
43,06-03,中通客车,000957,1593495.34351095,9.75,0.651294346119693
44,06-03,中通客车,000957,2022827.39387582,9.81,0.8318590148502968
45,06-03,中通客车,000957,2476178.21071878,9.87,1.0245211870265765
46,06-03,中通客车,000957,2463546.72221549,9.93,1.0254912177055804
47,06-03,中通客车,000957,2450915.23371219,9.99,1.0263977068541466
48,06-03,中通客车,000957,2438283.7452089,10.05,1.0272406544722839
49,06-03,中通客车,000957,2387783.32902886,10.11,1.011970761978143
50,06-03,中通客车,000957,2404923.26377222,10.17,1.0252837402787314
51,06-03,中通客车,000957,2530229.83807108,10.23,1.0850693603916126
52,06-03,中通客车,000957,2644749.61617331,10.29,1.140832359066412
53,06-03,中通客车,000957,2640315.9585234,10.35,1.1455608001360549
54,06-03,中通客车,000957,2324760.00556997,10.41,1.0144969570696718
55,06-03,中通客车,000957,2009204.05261654,10.47,0.8818457390725561
56,06-03,中通客车,000957,1693648.09966312,10.53,0.7476071461447118
57,06-03,中通客车,000957,1487716.69992395,10.59,0.66044718258391
58,06-03,中通客车,000957,1427022.1875284,10.65,0.6370921106326686
59,06-03,中通客车,000957,1450199.94846937,10.71,0.6510873385291656
60,06-03,中通客车,000957,1326156.03041214,10.77,0.5987316570799897
61,06-03,中通客车,000957,1202112.1123549,10.83,0.5457519842150522
62,06-03,中通客车,000957,1078068.19429766,10.89,0.4921483199343577
63,06-03,中通客车,000957,954024.276240425,10.95,0.4379206642379086
64,06-03,中通客车,000957,829980.358183186,11.01,0.38306901712570074
65,06-03,中通客车,000957,705936.440125947,11.07,0.32759337859773585
66,06-03,中通客车,000957,581892.522068708,11.13,0.27149374865401393
67,06-03,中通客车,000957,457848.604011473,11.19,0.21477012729453687
68,06-03,中通客车,000957,333804.685954234,11.25,0.157422514519301
69,06-03,中通客车,000957,209760.767896995,11.31,0.09945091032830819
70,06-03,中通客车,000957,85716.8498397592,11.37,0.04085531472155987
71,06-03,中通客车,000957,8873.77543080208,11.43,0.004251836519924079
