,date,name,code,jeton,price,percentage
0,05-28,新国都,300130,2452.71690461131,10.78,0.0008060021599294999
1,05-28,新国都,300130,35442.5203995583,10.92,0.011798240827629498
2,05-28,新国都,300130,178461.638230905,11.06,0.060168616116298944
3,05-28,新国都,300130,227551.932382505,11.2,0.07769061709003833
4,05-28,新国都,300130,332082.824167317,11.34,0.11479672246787714
5,05-28,新国都,300130,409951.482622301,11.48,0.14346447385282748
6,05-28,新国都,300130,509875.179716402,11.62,0.18060926277981382
7,05-28,新国都,300130,1266803.69229625,11.76,0.45413676576495443
8,05-28,新国都,300130,1423760.70184656,11.9,0.5164805644767575
9,05-28,新国都,300130,1126501.55419103,12.04,0.413455051689866
10,05-28,新国都,300130,693122.910268262,12.18,0.25735200898500726
11,05-28,新国都,300130,541838.532457498,12.32,0.2034935342448548
12,05-28,新国都,300130,328776.789062196,12.46,0.12487894252380125
13,05-28,新国都,300130,268557.195210579,12.6,0.1031519299862882
14,05-28,新国都,300130,406520.196648682,12.74,0.15787798521383548
15,05-28,新国都,300130,1078333.01297604,12.88,0.4233882339690311
16,05-28,新国都,300130,1598007.45513073,13.02,0.6342490213302948
17,05-28,新国都,300130,1664813.21621348,13.16,0.6678692137871488
18,05-28,新国都,300130,580288.745466424,13.3,0.23526959725732352
19,05-28,新国都,300130,148160.961069078,13.44,0.06070201051825372
20,05-28,新国都,300130,35970.9877035036,13.79,0.01512121364847318
21,05-28,新国都,300130,203835.596986525,13.93,0.08655679487781036
22,05-28,新国都,300130,381996.138517773,14.07,0.16384118887616594
23,05-28,新国都,300130,813304.839552289,14.21,0.35230390332575007
24,05-28,新国都,300130,906070.995884437,14.35,0.3963548255344109
25,05-28,新国都,300130,893925.269611593,14.49,0.39485679862121215
26,05-28,新国都,300130,596218.422130799,14.63,0.2659008572246192
27,05-28,新国都,300130,521735.098307774,14.77,0.2349094940290266
28,05-28,新国都,300130,490620.359624991,14.91,0.22299402697566498
29,05-28,新国都,300130,609461.111669873,15.05,0.27960988434830364
30,05-28,新国都,300130,806184.750649459,15.19,0.3733037677936425
31,05-28,新国都,300130,1203673.27949969,15.33,0.5624977569604366
32,05-28,新国都,300130,1807451.3154841,15.47,0.8523676182501624
33,05-28,新国都,300130,2146830.88340951,15.61,1.0215761794830354
34,05-28,新国都,300130,2128495.77908544,15.75,1.02193523156293
35,05-28,新国都,300130,1803261.06707335,15.89,0.8734791119750652
36,05-28,新国都,300130,1824840.2958202,16.03,0.8917197902419938
37,05-28,新国都,300130,2209292.54375469,16.17,1.089013509162778
38,05-28,新国都,300130,2905432.85528932,16.31,1.444557471318461
39,05-28,新国都,300130,3706516.40309697,16.45,1.858668116576954
40,05-28,新国都,300130,6773319.38032808,16.5,3.406869662040038
41,05-28,新国都,300130,9287462.48355296,16.73,4.736559899600336
42,05-28,新国都,300130,11462067.9177211,16.87,5.8945150454235264
43,05-28,新国都,300130,13150248.1695803,17.01,6.818805187948011
44,05-28,新国都,300130,11885524.7814466,17.15,6.213731837364418
45,05-28,新国都,300130,10072980.1433517,17.29,5.309125500070278
46,05-28,新国都,300130,10506728.1612777,17.43,5.582579333902112
47,05-28,新国都,300130,11997913.2257641,17.57,6.426100280940654
48,05-28,新国都,300130,11012766.5559374,17.71,5.945453885576096
49,05-28,新国都,300130,10008948.856772,17.85,5.446239191031255
50,05-28,新国都,300130,9201006.83044495,17.99,5.045875572028441
51,05-28,新国都,300130,7395833.57231208,18.13,4.087473539585068
52,05-28,新国都,300130,6171414.55803957,18.27,3.437108868994332
53,05-28,新国都,300130,5962795.28134634,18.28,3.3227380973705802
54,05-28,新国都,300130,5158691.54513695,18.55,2.9171146288038954
55,05-28,新国都,300130,4184174.954137,18.69,2.383906168213521
56,05-28,新国都,300130,3052924.6110807,18.83,1.752412815048287
57,05-28,新国都,300130,2426539.12064508,18.97,1.4032163899713557
58,05-28,新国都,300130,1669404.69466136,19.11,0.9725061086968316
59,05-28,新国都,300130,1111751.49707826,19.25,0.6523917752662359
60,05-28,新国都,300130,820498.53152146,19.39,0.4849820195252422
61,05-28,新国都,300130,529245.565964654,19.53,0.3150862793337397
62,05-28,新国都,300130,237992.600407849,19.67,0.1427045546917327
63,05-28,新国都,300130,98192.5169498691,19.81,0.059297022745284214
