,date,name,code,jeton,price,percentage
0,06-03,浪潮信息,000977,219872.051494825,22.62,0.03357426658479035
1,06-03,浪潮信息,000977,439744.102989644,22.74,0.06750475880973668
2,06-03,浪潮信息,000977,1137572.16642348,22.86,0.17554929462718355
3,06-03,浪潮信息,000977,2165519.03336812,22.98,0.3359355267050736
4,06-03,浪潮信息,000977,3495911.2017411,23.1,0.5451503282961618
5,06-03,浪潮信息,000977,5136635.8813626,23.22,0.8051650254728384
6,06-03,浪潮信息,000977,7177980.77140141,23.34,1.1309594860052614
7,06-03,浪潮信息,000977,10033527.8439085,23.37,1.582910201063375
8,06-03,浪潮信息,000977,13305793.6901561,23.58,2.118012365872569
9,06-03,浪潮信息,000977,14533365.1309789,23.7,2.3251899440797854
10,06-03,浪潮信息,000977,17175653.0676722,23.82,2.761842584262762
11,06-03,浪潮信息,000977,19100121.1083606,23.94,3.086769300866814
12,06-03,浪潮信息,000977,23185879.2756986,24.06,3.7658507040858735
13,06-03,浪潮信息,000977,28371064.9332716,24.18,4.631011287847323
14,06-03,浪潮信息,000977,31506530.1984875,24.3,5.16833619163312
15,06-03,浪潮信息,000977,31546151.467009,24.42,5.200390414834589
16,06-03,浪潮信息,000977,32679257.6159734,24.54,5.413655872186069
17,06-03,浪潮信息,000977,36393080.3575253,24.66,6.058370009576045
18,06-03,浪潮信息,000977,35121425.4779587,24.78,5.8751281189197595
19,06-03,浪潮信息,000977,27545284.4513592,24.9,4.6301015248597
20,06-03,浪潮信息,000977,19609768.8721511,25.02,3.3121018680038037
21,06-03,浪潮信息,000977,13867530.2225846,25.14,2.353468011384324
22,06-03,浪潮信息,000977,11034934.685091,25.26,1.8816854140640198
23,06-03,浪潮信息,000977,9531967.57365549,25.38,1.6331199319758183
24,06-03,浪潮信息,000977,8994342.43523689,25.5,1.5482942605142456
25,06-03,浪潮信息,000977,8783787.56224095,25.62,1.5191646792303966
26,06-03,浪潮信息,000977,8019138.11085704,25.74,1.3934139083292554
27,06-03,浪潮信息,000977,7332846.89642707,25.86,1.2801033768983947
28,06-03,浪潮信息,000977,6462486.44825344,25.98,1.1333986667632692
29,06-03,浪潮信息,000977,6287439.41814697,26.1,1.1077920040948865
30,06-03,浪潮信息,000977,5688225.48005547,26.22,1.006823621290654
31,06-03,浪潮信息,000977,6018869.28500208,26.34,1.0702237576670854
32,06-03,浪潮信息,000977,7040947.47712156,26.38,1.2538621746096494
33,06-03,浪潮信息,000977,7292192.75936205,26.58,1.308449670129264
34,06-03,浪潮信息,000977,7773057.95580165,26.7,1.4010288309933747
35,06-03,浪潮信息,000977,8729672.42947648,26.82,1.5805222951242224
36,06-03,浪潮信息,000977,10105617.683422,26.94,1.837825870419639
37,06-03,浪潮信息,000977,10076787.2888975,27.06,1.8407456748334474
38,06-03,浪潮信息,000977,7871541.98289781,27.18,1.444285907935745
39,06-03,浪潮信息,000977,5703989.12730062,27.3,1.0511997316740933
40,06-03,浪潮信息,000977,3890470.77340143,27.42,0.7201343265111462
41,06-03,浪潮信息,000977,2792909.84121579,27.54,0.5192359545012376
42,06-03,浪潮信息,000977,2386368.42029905,27.66,0.4455880901104367
43,06-03,浪潮信息,000977,2130281.79566197,27.78,0.3994967060758807
44,06-03,浪潮信息,000977,1874195.1710249,27.9,0.35299042337104625
45,06-03,浪潮信息,000977,1618108.54638782,28.02,0.3060692419959299
46,06-03,浪潮信息,000977,1362021.92175074,28.14,0.25873316195053336
47,06-03,浪潮信息,000977,1416689.31240881,28.26,0.27026554345229503
48,06-03,浪潮信息,000977,1642231.03603401,28.38,0.31462306090127773
49,06-03,浪潮信息,000977,2079745.19491439,28.5,0.4001279553640499
50,06-03,浪潮信息,000977,2517259.35379476,28.62,0.4863416882638351
51,06-03,浪潮信息,000977,3039701.33799288,28.74,0.5897413556255668
52,06-03,浪潮信息,000977,3562143.32219102,28.86,0.6939874572157574
53,06-03,浪潮信息,000977,4084585.30638915,28.98,0.799079993034401
54,06-03,浪潮信息,000977,4607027.29058729,29.1,0.9050189630815016
55,06-03,浪潮信息,000977,4751189.99674322,29.22,0.9371875590480154
56,06-03,浪潮信息,000977,4517073.42485696,29.34,0.8946664773408171
57,06-03,浪潮信息,000977,4282956.85297069,29.46,0.8517660917378985
58,06-03,浪潮信息,000977,3597428.55980866,29.58,0.7183469516494444
59,06-03,浪潮信息,000977,2911900.26664661,29.7,0.583817153096588
60,06-03,浪潮信息,000977,2297301.2919146,29.82,0.4624550233165293
61,06-03,浪潮信息,000977,1682702.31718258,29.94,0.34009715118665546
62,06-03,浪潮信息,000977,1346472.79295885,30.06,0.27323130976824855
63,06-03,浪潮信息,000977,1149427.99398926,30.18,0.23417736276082016
64,06-03,浪潮信息,000977,952383.195019674,30.3,0.19480417367976238
65,06-03,浪潮信息,000977,755338.396050084,30.42,0.15511174252507356
66,06-03,浪潮信息,000977,558293.5970805,30.54,0.11510006929675576
67,06-03,浪潮信息,000977,361248.79811091,30.66,0.07476915399480655
68,06-03,浪潮信息,000977,164203.99914132,30.78,0.03411899661922711
