,date,name,code,jeton,price,percentage
0,06-03,浪潮软件,600756,129720.67108383,20.64,0.07044212816303812
1,06-03,浪潮软件,600756,321347.672835161,20.8,0.17585393169277708
2,06-03,浪潮软件,600756,544945.465773108,20.96,0.30050929537855414
3,06-03,浪潮软件,600756,698474.246463891,21.12,0.38811274111963034
4,06-03,浪潮软件,600756,724629.19016191,21.28,0.40569629056309964
5,06-03,浪潮软件,600756,785705.520141889,21.44,0.44319838982125814
6,06-03,浪潮软件,600756,878970.123218253,21.6,0.49950685539751194
7,06-03,浪潮软件,600756,1144819.45513316,21.76,0.6554045933221843
8,06-03,浪潮软件,600756,1448104.35667172,21.92,0.8351298336646641
9,06-03,浪潮软件,600756,1301214.14022174,22.08,0.7558949286404869
10,06-03,浪潮软件,600756,1718418.52728681,22.24,1.0054889861784162
11,06-03,浪潮软件,600756,3411123.30503739,22.4,2.010291449090995
12,06-03,浪潮软件,600756,4919949.81733501,22.56,2.9202051118063994
13,06-03,浪潮软件,600756,3632046.8486228,22.72,2.171067655257769
14,06-03,浪潮软件,600756,2591625.00258809,22.88,1.5600616813970836
15,06-03,浪潮软件,600756,2639478.53755594,23.04,1.5999786894313397
16,06-03,浪潮软件,600756,1951723.34141399,23.2,1.1912964001247972
17,06-03,浪潮软件,600756,1393633.26799703,23.36,0.8565149188373952
18,06-03,浪潮软件,600756,1127357.22273191,23.52,0.6976096145985827
19,06-03,浪潮软件,600756,1030946.31033685,23.68,0.6422902585115807
20,06-03,浪潮软件,600756,1018451.50307416,23.84,0.6387930656012838
21,06-03,浪潮软件,600756,1005956.69581146,24.0,0.6351906781681042
22,06-03,浪潮软件,600756,993461.888548768,24.16,0.631483096212053
23,06-03,浪潮软件,600756,980967.081286074,24.32,0.6276703197331243
24,06-03,浪潮软件,600756,1117575.75413116,24.48,0.7197836429829043
25,06-03,浪潮软件,600756,1948971.11856631,24.64,1.2634547585050848
26,06-03,浪潮软件,600756,2657796.7913689,24.8,1.7341515247633819
27,06-03,浪潮软件,600756,3872345.38200512,24.96,2.542917411375607
28,06-03,浪潮软件,600756,4643797.49084748,25.08,3.064180843775978
29,06-03,浪潮软件,600756,5313770.10665162,25.28,3.534218691340533
30,06-03,浪潮软件,600756,5983742.72245577,25.44,4.005010027277408
31,06-03,浪潮软件,600756,7708781.83757637,25.6,5.192055293458028
32,06-03,浪潮软件,600756,10902567.9100841,25.76,7.389043914645608
33,06-03,浪潮软件,600756,10063174.5979709,25.92,6.862519531850472
34,06-03,浪潮软件,600756,6759544.14132064,26.08,4.638083723702678
35,06-03,浪潮软件,600756,4788169.29876376,26.24,3.3055742508172434
36,06-03,浪潮软件,600756,3859179.88735573,26.4,2.680479796030694
37,06-03,浪潮软件,600756,2930190.4759477,26.56,2.0475641243309286
38,06-03,浪潮软件,600756,2042643.87111607,26.72,1.4359611743557825
39,06-03,浪潮软件,600756,2433357.53029873,26.88,1.7208728263267865
40,06-03,浪潮软件,600756,3778531.34563629,27.04,2.6880869043791247
41,06-03,浪潮软件,600756,5346459.52252155,27.2,3.826033565118107
42,06-03,浪潮软件,600756,4116795.28570859,27.36,2.963390969350832
43,06-03,浪潮软件,600756,2941221.41830813,27.52,2.12955929971966
44,06-03,浪潮软件,600756,1827726.36216482,27.68,1.331039213065514
45,06-03,浪潮软件,600756,1765643.90830721,27.84,1.293260281661504
46,06-03,浪潮软件,600756,1817960.8688063,28.0,1.339233026238875
47,06-03,浪潮软件,600756,1734766.12224712,28.16,1.2852486942129193
48,06-03,浪潮软件,600756,1618552.57561537,28.32,1.2059620704103202
49,06-03,浪潮软件,600756,1442786.18001851,28.48,1.0810743099890086
50,06-03,浪潮软件,600756,1453327.3620617,28.64,1.0950906030236247
51,06-03,浪潮软件,600756,1458575.3650163,28.8,1.1051849199333366
52,06-03,浪潮软件,600756,1287954.12976198,28.96,0.9813242747433454
53,06-03,浪潮软件,600756,1179243.96994862,29.12,0.9034593634837829
54,06-03,浪潮软件,600756,1090355.00224116,29.25,0.8390877470126826
55,06-03,浪潮软件,600756,965463.120652084,29.44,0.7478027934392266
56,06-03,浪潮软件,600756,786237.689656479,29.6,0.6122928079251858
57,06-03,浪潮软件,600756,475933.204953743,29.76,0.37264261695385575
58,06-03,浪潮软件,600756,227415.012512306,29.92,0.17901701381268864
59,06-03,浪潮软件,600756,123523.383196327,30.08,0.09775536429703469
60,06-03,浪潮软件,600756,66561.742089564,30.24,0.0529565952741214
61,06-03,浪潮软件,600756,21173.9092488939,30.4,0.0169351177039875
