,date,name,code,jeton,price,percentage
0,06-04,温氏股份,300498,6525376.33648189,24.99,0.3552832691450044
1,06-04,温氏股份,300498,12790139.858427,25.33,0.7058516264626571
2,06-04,温氏股份,300498,13241098.2084651,25.67,0.7405473154365099
3,06-04,温氏股份,300498,17362237.7608842,26.01,0.9838955309906873
4,06-04,温氏股份,300498,13780574.147996,26.35,0.791135491955619
5,06-04,温氏股份,300498,9986737.09121023,26.69,0.5807311570822833
6,06-04,温氏股份,300498,10506477.6760155,27.03,0.618737052753255
7,06-04,温氏股份,300498,14076258.0495401,27.37,0.8393922474180769
8,06-04,温氏股份,300498,36556825.4332429,27.71,2.2070284788721626
9,06-04,温氏股份,300498,20672021.3873755,28.05,1.2633356387008399
10,06-04,温氏股份,300498,416668.651153435,28.39,0.02577265473754843
11,06-04,温氏股份,300498,1162286.237428,28.73,0.07275312590110959
12,06-04,温氏股份,300498,1907903.82370256,29.07,0.12083825544610964
13,06-04,温氏股份,300498,2653521.40997712,29.41,0.17002804337254884
14,06-04,温氏股份,300498,3399138.99625169,29.75,0.22032248968042795
15,06-04,温氏股份,300498,5599462.0786002,30.09,0.36708905174904555
16,06-04,温氏股份,300498,12679286.1873735,30.43,0.8406199514176766
17,06-04,温氏股份,300498,2875927.41786043,30.77,0.19280058795912758
18,06-04,温氏股份,300498,3692758.21654388,31.11,0.25029594905664204
19,06-04,温氏股份,300498,4646663.29256929,31.45,0.31839393764811474
20,06-04,温氏股份,300498,11065912.5141432,31.79,0.7664444731428338
21,06-04,温氏股份,300498,19791929.9330227,32.13,1.3854849318875473
22,06-04,温氏股份,300498,23150049.3512023,32.2,1.6240923826033922
23,06-04,温氏股份,300498,25301215.2762469,32.81,1.8086334086632732
24,06-04,温氏股份,300498,17475299.1559726,33.15,1.262150339212329
25,06-04,温氏股份,300498,12989808.787251,33.49,0.9478090305982073
26,06-04,温氏股份,300498,11421239.1965602,33.83,0.8418179102775967
27,06-04,温氏股份,300498,11414373.2480259,34.17,0.8497672416773827
28,06-04,温氏股份,300498,19180120.2518268,34.51,1.4421127665148024
29,06-04,温氏股份,300498,31641240.43937,34.85,2.402476896082243
30,06-04,温氏股份,300498,37932282.8783555,35.19,2.9082462983935264
31,06-04,温氏股份,300498,24963639.6046952,35.53,1.9324401320764562
32,06-04,温氏股份,300498,23893433.4255069,35.87,1.8672947426167805
33,06-04,温氏股份,300498,20269420.5500984,36.21,1.599089585659522
34,06-04,温氏股份,300498,15962060.8633416,36.55,1.271098716720911
35,06-04,温氏股份,300498,22040664.6644921,36.89,1.7714801033069112
36,06-04,温氏股份,300498,31487885.4604504,37.23,2.5541092488052293
37,06-04,温氏股份,300498,40322377.9351144,37.57,3.3005800285499722
38,06-04,温氏股份,300498,52609251.4827056,37.91,4.345290776563543
39,06-04,温氏股份,300498,57885684.3311229,38.25,4.82398054855183
40,06-04,温氏股份,300498,57912433.0359074,38.59,4.8691093291334715
41,06-04,温氏股份,300498,50750401.4242009,38.93,4.304540735023223
42,06-04,温氏股份,300498,40914693.6517848,39.27,3.5006052642607477
43,06-04,温氏股份,300498,39305932.5490097,39.6,3.3912220469805097
44,06-04,温氏股份,300498,48651814.6294781,39.95,4.234662114708638
45,06-04,温氏股份,300498,53908355.7758789,40.29,4.7321258905614085
46,06-04,温氏股份,300498,50358869.5780259,40.63,4.457852880479701
47,06-04,温氏股份,300498,40942016.7526119,40.97,3.654585545161865
48,06-04,温氏股份,300498,28295873.2659511,41.31,2.546720200716594
49,06-04,温氏股份,300498,26709508.3923902,41.65,2.4237277590287576
50,06-04,温氏股份,300498,22032715.9060193,41.99,2.0156579963549706
51,06-04,温氏股份,300498,18645131.7570283,42.33,1.7195573375843445
52,06-04,温氏股份,300498,18114234.3352045,42.67,1.6840134704006926
53,06-04,温氏股份,300498,16842818.6346362,43.01,1.5782912587897484
54,06-04,温氏股份,300498,13967650.2251327,43.35,1.3192144184999015
55,06-04,温氏股份,300498,9754965.96840871,43.69,0.9285616429981843
56,06-04,温氏股份,300498,6301741.9838619,44.03,0.6045221797090302
57,06-04,温氏股份,300498,3523074.28391557,44.37,0.3405760981353046
58,06-04,温氏股份,300498,2059767.66234028,44.71,0.20064384510819636
59,06-04,温氏股份,300498,1069991.02897862,45.05,0.10502141570147489
60,06-04,温氏股份,300498,197559.608890181,45.39,0.019537152973496518
