,date,name,code,diff,ranking,total
0,05-09,中兴通讯,000063,0,8,3627
1,05-10,中兴通讯,000063,1,7,3626
2,05-13,中兴通讯,000063,-1,8,3630
3,05-14,中兴通讯,000063,1,7,3629
4,05-15,中兴通讯,000063,-3,10,3630
5,05-16,中兴通讯,000063,2,8,3630
6,05-17,中兴通讯,000063,-5,13,3630
13,05-20,中兴通讯,000063,6,7,3632
34,05-21,中兴通讯,000063,1,6,3631
41,05-22,中兴通讯,000063,-3,9,3631
55,05-23,中兴通讯,000063,-1,10,3630
69,05-24,中兴通讯,000063,-3,13,3632
83,05-27,中兴通讯,000063,1,12,3635
90,05-28,中兴通讯,000063,-4,16,3635
104,05-29,中兴通讯,000063,-4,20,3634
110,05-30,中兴通讯,000063,1,19,3635
111,05-31,中兴通讯,000063,2,17,3634
125,06-03,中兴通讯,000063,10,7,3636
146,06-04,中兴通讯,000063,3,4,3636
152,06-05,中兴通讯,000063,1,3,3639
153,06-06,中兴通讯,000063,1,2,3639
